mssv,ho_ten,ngay_sinh,khoa,nganh,tin_chi_tich_luy,tin_chi_yeu_cau,gpa_tich_luy,xep_loai_hoc_luc,diem_ren_luyen,chuandau_ngoai_ngu,chuandau_tin_hoc,chung_chi_gdqp_gddt,no_hoc_phi,ky_luat,ket_qua_xet_tot_nghiep,ly_do_chi_tiet
201A000012,Dinh Kim Linh,2002-02-13,Truyen thong,Truyen thong Da phuong tien,116,126,2.49,Trung binh,76,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 10 tin chi tich luy
201A000013,Huynh Hoang Bich,2002-06-27,Ky thuat Cong nghe,Cong nghe Ky thuat O to,134,135,1.9,Yeu,80,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 1 tin chi tich luy | GPA tich luy duoi 2.00 (Yeu)
201A000014,Cao Quoc Em,2002-10-30,Du lich,Quan tri Khach san,124,124,2.56,Kha,88,Dat,Dat,Dat,1,0,Khong du dieu kien,Con no hoc phi / Chi phi thuat
201A000015,Dang Thi Thinh,2002-01-25,Truyen thong,Truyen thong Da phuong tien,126,126,3.28,Gioi,51,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000016,Dang Quoc Nhi,2002-05-20,Truyen thong,Quan he Cong chuong,119,126,2.49,Trung binh,72,Dat,Dat,Chua dat,0,0,Khong du dieu kien,Thieu 7 tin chi tich luy | Thieu chung chi GDQP-AN/GDDT
201A000017,Dang Tuyet Thao,2002-09-04,Truyen thong,Truyen thong Da phuong tien,126,126,2.95,Kha,67,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000018,Hoang Nhat Thinh,2002-12-10,Kinh te,Quan tri Kinh doanh,128,128,2.18,Trung binh,85,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000019,Cao Thanh Vy,2002-05-31,Du lich,Quan tri Dich vu Du lich,124,124,2.13,Trung binh,66,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000020,Dang Minh Thao,2002-06-10,Ngoai ngu,Ngon ngu Trung Quoc,120,125,3.81,Xuat sac,60,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 5 tin chi tich luy
201A000021,Truong Van Bich,2002-02-19,Kinh te,Quan tri Kinh doanh,128,128,2.05,Trung binh,85,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000022,Dinh Thi Nhi,2002-06-11,Du lich,Quan tri Khach san,124,124,2.74,Kha,93,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000023,Huynh Tan Nam,2002-01-30,Ky thuat Cong nghe,Cong nghe Ky thuat O to,130,135,3.31,Gioi,68,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 5 tin chi tich luy
201A000024,Cao Van Thinh,2002-06-25,Kinh te,Logistics va Quan ly Chuoi cung ung,128,128,3.94,Xuat sac,60,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000025,Duong Van Phong,2002-10-24,Kinh te,Ke toan,128,128,2.64,Kha,76,Dat,Dat,Dat,1,0,Khong du dieu kien,Con no hoc phi / Chi phi thuat
201A000026,Mai Huu Nhi,2002-05-11,Kinh te,Tai chinh Ngan hang,128,128,2.43,Trung binh,80,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000027,Dang Huu Bich,2002-11-29,Du lich,Quan tri Dich vu Du lich,124,124,2.94,Kha,97,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000028,Ngo Kim Em,2002-07-24,Ky thuat Cong nghe,Cong nghe Ky thuat O to,131,135,3.03,Kha,67,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 4 tin chi tich luy
201A000029,Vu Tan Hang,2002-03-23,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.73,Xuat sac,72,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000030,Le Tan Nam,2002-10-07,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.4,Gioi,51,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000031,Huynh Phuong Thinh,2002-09-22,Ky thuat Cong nghe,Cong nghe Ky thuat O to,133,135,2.03,Trung binh,96,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 2 tin chi tich luy
201A000032,Bui Quoc Linh,2002-06-01,Du lich,Quan tri Dich vu Du lich,124,124,3.89,Xuat sac,62,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000033,Do Huu Giang,2002-09-22,Cong nghe Thong tin,Ky thuat Phan mem,132,132,2.15,Trung binh,51,Chua dat,Dat,Dat,0,1,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu | Dang trong thoi gian ky luat cap Truong
201A000034,Do Hoang Nam,2002-06-04,Kinh te,Logistics va Quan ly Chuoi cung ung,128,128,3.13,Kha,58,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000035,Ly Tan Dung,2002-06-28,Truyen thong,Quan he Cong chuong,126,126,2.94,Kha,72,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000036,Le Truc Linh,2002-05-16,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.76,Kha,85,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000037,Dang Thanh Quan,2002-04-23,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.59,Kha,87,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000038,Ly Tuyet Dung,2002-06-13,Ngoai ngu,Ngon ngu Nhat,125,125,2.99,Kha,67,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000039,Phan Phuong Nhi,2002-01-12,Du lich,Quan tri Dich vu Du lich,124,124,2.56,Kha,93,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000040,Mai Kim Hang,2002-08-06,Ngoai ngu,Ngon ngu Trung Quoc,125,125,3.79,Xuat sac,96,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000041,Dinh Nhat Quang,2002-09-05,Ngoai ngu,Ngon ngu Anh,125,125,2.31,Trung binh,57,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000042,Trinh Ngoc Yen,2002-11-19,Ngoai ngu,Ngon ngu Anh,125,125,2.24,Trung binh,50,Chua dat,Dat,Chua dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu | Thieu chung chi GDQP-AN/GDDT
201A000043,Dang Tan Cuong,2002-10-18,Truyen thong,Truyen thong Da phuong tien,126,126,2.42,Trung binh,76,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000044,Vu Tuyet Mai,2002-06-27,Ngoai ngu,Ngon ngu Trung Quoc,125,125,2.88,Kha,70,Dat,Dat,Dat,1,0,Khong du dieu kien,Con no hoc phi / Chi phi thuat
201A000045,Ly Duc Hang,2002-07-08,Ngoai ngu,Ngon ngu Trung Quoc,118,125,2.49,Trung binh,87,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 7 tin chi tich luy
201A000046,Mai Tan Quang,2002-11-12,Cong nghe Thong tin,Khoa hoc Du lieu,132,132,3.24,Gioi,73,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000047,Trinh Kim Nhi,2002-11-19,Cong nghe Thong tin,Ky thuat Phan mem,132,132,2.36,Trung binh,77,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000048,Vu Gia Thinh,2002-12-14,Ngoai ngu,Ngon ngu Nhat,118,125,2.97,Kha,96,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 7 tin chi tich luy
201A000049,Vo Thi Bich,2002-05-24,Ngoai ngu,Ngon ngu Anh,125,125,3.87,Xuat sac,94,Dat,Dat,Dat,1,0,Khong du dieu kien,Con no hoc phi / Chi phi thuat
201A000050,Vo Nhat Yen,2002-09-08,Du lich,Quan tri Khach san,124,124,2.93,Kha,84,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000051,Trinh Thi Quang,2002-01-04,Cong nghe Thong tin,Cong nghe Thong tin,132,132,3.62,Xuat sac,94,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000052,Le Nhat Phong,2002-04-13,Kinh te,Tai chinh Ngan hang,128,128,3.88,Xuat sac,63,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000053,Do Thanh Linh,2002-11-19,Ky thuat Cong nghe,Cong nghe Ky thuat O to,126,135,3.12,Kha,55,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 9 tin chi tich luy
201A000054,Dinh Quoc Dung,2002-03-30,Kinh te,Luat Kinh te,128,128,3.74,Xuat sac,77,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000055,Duong Viet Nhi,2002-01-05,Truyen thong,Quan he Cong chuong,120,126,2.88,Kha,58,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 6 tin chi tich luy
201A000056,Cao Thi Thinh,2002-06-17,Ngoai ngu,Ngon ngu Trung Quoc,125,125,2.83,Kha,84,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000057,Tran Hoang Vy,2002-01-22,Cong nghe Thong tin,An toan Thong tin,132,132,2.66,Kha,91,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000058,Hoang Gia An,2002-02-23,Truyen thong,Truyen thong Da phuong tien,126,126,3.66,Xuat sac,51,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000059,Hoang Gia Linh,2002-08-30,Kinh te,Ke toan,128,128,2.83,Kha,65,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000060,Dinh Quoc Quan,2002-04-07,Cong nghe Thong tin,An toan Thong tin,132,132,2.86,Kha,51,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000061,Duong Khanh Thao,2002-06-10,Ngoai ngu,Ngon ngu Nhat,115,125,1.91,Yeu,88,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 10 tin chi tich luy | GPA tich luy duoi 2.00 (Yeu)
201A000062,Cao Hoang Thinh,2002-03-29,Truyen thong,Quan he Cong chuong,126,126,3.53,Gioi,76,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000063,Trinh Ngoc Nam,2002-02-13,Ngoai ngu,Ngon ngu Anh,124,125,2.31,Trung binh,90,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 1 tin chi tich luy
201A000064,Phan Kim Bich,2002-04-08,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.04,Trung binh,91,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000065,Ly Hoang Thinh,2002-03-27,Du lich,Quan tri Khach san,124,124,1.96,Yeu,72,Dat,Dat,Dat,1,0,Khong du dieu kien,GPA tich luy duoi 2.00 (Yeu) | Con no hoc phi / Chi phi thuat
201A000066,Mai Hoang Quan,2002-12-12,Du lich,Quan tri Khach san,124,124,2.2,Trung binh,62,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000067,Le Van Nam,2002-02-08,Ky thuat Cong nghe,Cong nghe Ky thuat O to,125,135,3.66,Xuat sac,65,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 10 tin chi tich luy
201A000068,Vu Huu Dung,2002-03-13,Cong nghe Thong tin,An toan Thong tin,132,132,3.32,Gioi,90,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000069,Cao Van Lam,2002-05-02,Cong nghe Thong tin,An toan Thong tin,127,132,3.1,Kha,86,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 5 tin chi tich luy
201A000070,Hoang Quoc Quan,2002-10-30,Cong nghe Thong tin,Ky thuat Phan mem,132,132,3.43,Gioi,60,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000071,Dinh Kim Linh,2002-03-17,Truyen thong,Quan he Cong chuong,126,126,3.13,Kha,59,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000072,Hoang Duc Cuong,2002-07-17,Ngoai ngu,Ngon ngu Nhat,125,125,3.38,Gioi,69,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000073,Dang Minh Yen,2002-10-08,Cong nghe Thong tin,Ky thuat Phan mem,132,132,3.32,Gioi,95,Chua dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu | Chua dat chuan dau ra Tin hoc
201A000074,Pham Khanh Nhi,2002-03-07,Du lich,Quan tri Dich vu Du lich,124,124,2.68,Kha,89,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000075,Phan Khanh Giang,2002-09-18,Ngoai ngu,Ngon ngu Anh,125,125,3.58,Gioi,69,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000076,Vu Thi Yen,2002-06-07,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.93,Kha,85,Dat,Dat,Chua dat,0,0,Khong du dieu kien,Thieu chung chi GDQP-AN/GDDT
201A000077,Trinh Tan Yen,2002-09-17,Ngoai ngu,Ngon ngu Nhat,125,125,2.95,Kha,50,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000078,Ngo Huu Vy,2002-07-13,Ngoai ngu,Ngon ngu Trung Quoc,124,125,2.07,Trung binh,63,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 1 tin chi tich luy
201A000079,Bui Viet An,2002-10-07,Cong nghe Thong tin,Cong nghe Thong tin,132,132,2.68,Kha,79,Dat,Dat,Chua dat,0,0,Khong du dieu kien,Thieu chung chi GDQP-AN/GDDT
201A000080,Hoang Tan An,2002-02-19,Cong nghe Thong tin,Khoa hoc Du lieu,132,132,2.82,Kha,76,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000081,Vu Tuyet Yen,2002-04-03,Cong nghe Thong tin,Cong nghe Thong tin,132,132,2.16,Trung binh,79,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000082,Vo Hoang An,2002-12-18,Truyen thong,Quan he Cong chuong,124,126,2.78,Kha,53,Dat,Dat,Dat,1,0,Khong du dieu kien,Thieu 2 tin chi tich luy | Con no hoc phi / Chi phi thuat
201A000083,Le Ngoc Thinh,2002-09-26,Kinh te,Marketing,128,128,3.85,Xuat sac,50,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000084,Pham Khanh Nam,2002-02-08,Truyen thong,Truyen thong Da phuong tien,126,126,3.15,Kha,70,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000085,Trinh Quoc Thao,2002-08-03,Ngoai ngu,Ngon ngu Anh,125,125,2.38,Trung binh,79,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000086,Cao Duc Giang,2002-07-03,Du lich,Quan tri Dich vu Du lich,119,124,2.08,Trung binh,88,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 5 tin chi tich luy
201A000087,Pham Tuyet Nhi,2002-11-28,Truyen thong,Quan he Cong chuong,126,126,3.27,Gioi,73,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000088,Huynh Viet An,2002-07-02,Truyen thong,Quan he Cong chuong,126,126,3.49,Gioi,50,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000089,Mai Thi Dung,2002-06-19,Truyen thong,Quan he Cong chuong,126,126,3.77,Xuat sac,95,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000090,Do Huu Quan,2002-02-22,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.08,Trung binh,76,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000091,Cao Phuong Bich,2002-03-12,Truyen thong,Truyen thong Da phuong tien,126,126,3.66,Xuat sac,76,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000092,Truong Tan Em,2002-05-17,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.35,Gioi,54,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000093,Nguyen Tan Dung,2002-03-07,Truyen thong,Truyen thong Da phuong tien,126,126,3.4,Gioi,83,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000094,Pham Thanh Quan,2002-07-17,Cong nghe Thong tin,Khoa hoc Du lieu,132,132,2.01,Trung binh,50,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000095,Le Tan Thinh,2002-10-15,Cong nghe Thong tin,Cong nghe Thong tin,132,132,2.82,Kha,72,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000096,Pham Phuong Lam,2002-10-29,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.24,Trung binh,61,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000097,Duong Huu Bich,2002-10-12,Ngoai ngu,Ngon ngu Anh,125,125,2.84,Kha,52,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000098,Pham Thanh Linh,2002-03-05,Ngoai ngu,Ngon ngu Trung Quoc,123,125,2.86,Kha,68,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Thieu 2 tin chi tich luy | Chua dat chuan dau ra Tin hoc
201A000099,Duong Nhat Cuong,2002-04-14,Ky thuat Cong nghe,Cong nghe Ky thuat O to,134,135,1.91,Yeu,70,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 1 tin chi tich luy | GPA tich luy duoi 2.00 (Yeu)
201A000100,Truong Tuyet Thinh,2002-11-12,Kinh te,Quan tri Kinh doanh,128,128,3.27,Gioi,95,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000101,Do Thanh Thinh,2002-05-11,Du lich,Quan tri Dich vu Du lich,124,124,2.98,Kha,98,Dat,Dat,Dat,1,0,Khong du dieu kien,Con no hoc phi / Chi phi thuat
201A000102,Tran Thi Quang,2002-03-16,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.35,Gioi,91,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000103,Bui Ngoc Hang,2002-08-24,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.4,Gioi,83,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000104,Bui Tan Giang,2002-06-07,Truyen thong,Quan he Cong chuong,126,126,2.77,Kha,77,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000105,Dinh Truc Lam,2002-06-12,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.55,Gioi,71,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Gioi
201A000106,Ngo Khanh Linh,2002-11-15,Truyen thong,Quan he Cong chuong,125,126,3.84,Xuat sac,96,Chua dat,Dat,Dat,1,0,Khong du dieu kien,Thieu 1 tin chi tich luy | Chua dat chuan dau ra Ngoai ngu | Con no hoc phi / Chi phi thuat
201A000107,Phan Tuyet Cuong,2002-07-18,Du lich,Quan tri Dich vu Du lich,124,124,2.73,Kha,57,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000108,Hoang Tuyet Khoa,2002-05-16,Du lich,Quan tri Dich vu Du lich,124,124,2.44,Trung binh,60,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000109,Le Huu Em,2002-05-17,Ngoai ngu,Ngon ngu Nhat,125,125,2.67,Kha,55,Dat,Dat,Dat,1,0,Khong du dieu kien,Con no hoc phi / Chi phi thuat
201A000110,Le Thi An,2002-01-22,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,1.89,Yeu,81,Dat,Dat,Dat,0,0,Khong du dieu kien,GPA tich luy duoi 2.00 (Yeu)
201A000111,Dinh Gia Quang,2002-04-13,Kinh te,Quan tri Kinh doanh,128,128,1.92,Yeu,52,Dat,Chua dat,Dat,0,0,Khong du dieu kien,GPA tich luy duoi 2.00 (Yeu) | Chua dat chuan dau ra Tin hoc
201A000112,Pham Nhat Nhi,2002-02-09,Cong nghe Thong tin,Khoa hoc Du lieu,132,132,2.6,Kha,55,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000113,Duong Van Hang,2002-01-02,Cong nghe Thong tin,Khoa hoc Du lieu,132,132,2.26,Trung binh,78,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000114,Cao Khanh Bich,2002-02-11,Kinh te,Marketing,128,128,2.92,Kha,55,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000115,Hoang Truc Yen,2002-03-30,Du lich,Quan tri Khach san,124,124,3.63,Xuat sac,54,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000116,Vu Minh Thao,2002-08-03,Cong nghe Thong tin,Khoa hoc Du lieu,132,132,2.1,Trung binh,87,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000117,Nguyen Phuong Quang,2002-06-24,Ngoai ngu,Ngon ngu Nhat,125,125,2.51,Kha,77,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000118,Trinh Gia Mai,2002-10-25,Truyen thong,Truyen thong Da phuong tien,126,126,3.37,Gioi,58,Dat,Dat,Chua dat,0,0,Khong du dieu kien,Thieu chung chi GDQP-AN/GDDT
201A000119,Dang Phuong Lam,2002-04-25,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.17,Trung binh,60,Dat,Chua dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Tin hoc
201A000120,Trinh Gia Linh,2002-03-21,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.47,Trung binh,75,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000121,Dinh Viet Bich,2002-07-15,Cong nghe Thong tin,Cong nghe Thong tin,132,132,2.94,Kha,92,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Kha
201A000122,Tran Minh Khoa,2002-04-29,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.22,Trung binh,87,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000123,Trinh Gia Quan,2002-07-22,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,2.13,Trung binh,94,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Trung binh
201A000124,Do Phuong Bich,2002-08-22,Cong nghe Thong tin,Cong nghe Thong tin,132,132,2.3,Trung binh,75,Chua dat,Dat,Dat,0,0,Khong du dieu kien,Chua dat chuan dau ra Ngoai ngu
201A000125,Ngo Gia Quang,2002-06-01,Truyen thong,Quan he Cong chuong,125,126,1.99,Yeu,97,Dat,Dat,Dat,0,0,Khong du dieu kien,Thieu 1 tin chi tich luy | GPA tich luy duoi 2.00 (Yeu)
201A000126,Vu Hoang Quang,2002-02-07,Ky thuat Cong nghe,Cong nghe Ky thuat O to,135,135,3.76,Xuat sac,67,Dat,Dat,Dat,0,0,Du dieu kien,Du dieu kien tot nghiep hang Xuat sac
201A000127,Dinh Huu Phong,2002-10-07,Cong nghe Thong tin,Cong nghe Thong tin,132,132,2.31,Trung binh,74,Dat,Dat,Dat,1,0,Khong du dieu kien,Con no hoc phi / Chi phi thuat
