STT,Mã sinh viên,Họ và tên,Lớp,Ngành học,Điểm CPA,Xếp loại tốt nghiệp,Chuẩn Ngoại ngữ,Chuẩn Tin học,GDQP & GDTC,Trạng thái xét
14,221VHU0014,Huỳnh Ngọc Yến,221KỸ02,Kỹ thuật phần mềm,2.25,Trung bình,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
15,221VHU0015,Ngô Ngọc Mai,221CÔ01,Công nghệ thông tin,2.07,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
16,221VHU0016,Bùi Phương Quân,221QU01,Quản trị kinh doanh,2.03,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
17,221VHU0017,Đỗ Minh Em,221KỸ01,Kỹ thuật phần mềm,2.75,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
18,221VHU0018,Lê Khánh Bình,221KẾ02,Kế toán,3.85,Xuất sắc,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
19,221VHU0019,Hoàng Quang Phong,221TÀ01,Tài chính - Ngân hàng,3.46,Giỏi,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
20,221VHU0020,Vũ Đức Vinh,221TH01,Thiết kế đồ họa,2.41,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
21,221VHU0021,Đỗ Hoàng Trang,221CÔ03,Công nghệ thông tin,2.73,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
22,221VHU0022,Trần Ánh Bình,221ĐÔ03,Đông phương học,2.21,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
23,221VHU0023,Phạm Gia Nga,221MA03,Marketing,2.24,Trung bình,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
24,221VHU0024,Hoàng Đức Uyên,221ĐÔ03,Đông phương học,3.23,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
25,221VHU0025,Phạm Tuấn Quân,221KẾ02,Kế toán,3.21,Giỏi,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
26,221VHU0026,Phạm Thu Vinh,221QU02,Quản trị dịch vụ du lịch và lữ hành,2.23,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
27,221VHU0027,Phan Ánh Hải,221KẾ03,Kế toán,3.62,Xuất sắc,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
28,221VHU0028,Ngô Minh Phúc,221CÔ02,Công nghệ thông tin,3.07,Khá,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
29,221VHU0029,Vũ Văn Anh,221ĐÔ01,Đông phương học,2.17,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
30,221VHU0030,Lê Phương Quân,221KỸ03,Kỹ thuật phần mềm,3.41,Giỏi,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
31,221VHU0031,Vũ Ngọc Huy,221KẾ01,Kế toán,2.91,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
32,221VHU0032,Đặng Quang Tuấn,221TÀ01,Tài chính - Ngân hàng,2.83,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
33,221VHU0033,Nguyễn Khánh Em,221ĐÔ02,Đông phương học,3.26,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
34,221VHU0034,Võ Hoàng Châu,221TÀ02,Tài chính - Ngân hàng,3.59,Giỏi,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
35,221VHU0035,Hồ Ngọc Hùng,221MA03,Marketing,3.35,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
36,221VHU0036,Huỳnh Thị Em,221TÂ02,Tâm lý học,3.42,Giỏi,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
37,221VHU0037,Lý Phương Tâm,221ĐÔ02,Đông phương học,2.85,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
38,221VHU0038,Nguyễn Khánh Tuấn,221TÂ02,Tâm lý học,3.9,Xuất sắc,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
39,221VHU0039,Phạm Gia Nga,221CÔ01,Công nghệ thông tin,2.12,Trung bình,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
40,221VHU0040,Vũ Tuấn Khoa,221NG02,Ngôn ngữ Nhật,3.02,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
41,221VHU0041,Vũ Ngọc Linh,221ĐÔ03,Đông phương học,3.32,Giỏi,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
42,221VHU0042,Trần Văn Trang,221TH01,Thiết kế đồ họa,2.99,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
43,221VHU0043,Lê Phương Phong,221TÀ03,Tài chính - Ngân hàng,2.47,Trung bình,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
44,221VHU0044,Vũ Thu Trang,221MA02,Marketing,2.79,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
45,221VHU0045,Dương Phương Tâm,221NG02,Ngôn ngữ Anh,2.17,Trung bình,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
46,221VHU0046,Phạm Ngọc Vinh,221ĐÔ01,Đông phương học,2.03,Trung bình,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
47,221VHU0047,Nguyễn Khánh Châu,221QU03,Quản trị dịch vụ du lịch và lữ hành,3.88,Xuất sắc,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
48,221VHU0048,Phan Tuấn Tuấn,221NG01,Ngôn ngữ Anh,3.85,Xuất sắc,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
49,221VHU0049,Dương Quang Sơn,221QU03,Quản trị dịch vụ du lịch và lữ hành,3.17,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
50,221VHU0050,Dương Thị Dũng,221ĐÔ03,Đông phương học,2.43,Trung bình,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
51,221VHU0051,Đặng Thu Quân,221TÀ02,Tài chính - Ngân hàng,3.37,Giỏi,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
52,221VHU0052,Hoàng Khánh Uyên,221TÂ03,Tâm lý học,3.41,Giỏi,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
53,221VHU0053,Phan Đức Dũng,221MA01,Marketing,2.42,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
54,221VHU0054,Ngô Văn Trang,221ĐÔ03,Đông phương học,3.15,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
55,221VHU0055,Hoàng Ngọc Anh,221NG03,Ngôn ngữ Nhật,3.44,Giỏi,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
56,221VHU0056,Lý Thu Yến,221TH01,Thiết kế đồ họa,3.35,Giỏi,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
57,221VHU0057,Hồ Tuấn Thảo,221QU02,Quản trị dịch vụ du lịch và lữ hành,3.72,Xuất sắc,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
58,221VHU0058,Vũ Minh Mai,221TÀ01,Tài chính - Ngân hàng,3.89,Xuất sắc,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
59,221VHU0059,Ngô Ánh Uyên,221TÂ03,Tâm lý học,3.0,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
60,221VHU0060,Phan Đức Hải,221QU03,Quản trị dịch vụ du lịch và lữ hành,3.39,Giỏi,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
61,221VHU0061,Hoàng Hoàng Trang,221TH03,Thiết kế đồ họa,2.98,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
62,221VHU0062,Phạm Phương Linh,221NG03,Ngôn ngữ Nhật,2.94,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
63,221VHU0063,Đặng Khánh Nam,221CÔ01,Công nghệ thông tin,3.02,Khá,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
64,221VHU0064,Trần Tuấn Bình,221QU03,Quản trị kinh doanh,2.52,Khá,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
65,221VHU0065,Võ Thành Bình,221TÂ02,Tâm lý học,3.53,Giỏi,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
66,221VHU0066,Dương Thị Thảo,221ĐÔ01,Đông phương học,3.44,Giỏi,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
67,221VHU0067,Đặng Hoàng Tuấn,221CÔ03,Công nghệ thông tin,3.81,Xuất sắc,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
68,221VHU0068,Bùi Thu Bình,221CÔ01,Công nghệ thông tin,3.45,Giỏi,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
69,221VHU0069,Đỗ Phương Tâm,221NG02,Ngôn ngữ Nhật,3.44,Giỏi,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
70,221VHU0070,Dương Thành Tuấn,221KỸ02,Kỹ thuật phần mềm,2.36,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
71,221VHU0071,Trần Gia Hùng,221NG01,Ngôn ngữ Nhật,2.52,Khá,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
72,221VHU0072,Bùi Ngọc Uyên,221TH03,Thiết kế đồ họa,2.08,Trung bình,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
73,221VHU0073,Đặng Ngọc Tâm,221NG03,Ngôn ngữ Nhật,2.7,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
74,221VHU0074,Vũ Thành Quân,221KỸ03,Kỹ thuật phần mềm,3.53,Giỏi,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
75,221VHU0075,Hồ Thị Linh,221QU02,Quản trị kinh doanh,3.72,Xuất sắc,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
76,221VHU0076,Đỗ Minh Hải,221QU01,Quản trị dịch vụ du lịch và lữ hành,3.03,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
77,221VHU0077,Đỗ Ngọc Hương,221ĐÔ01,Đông phương học,3.2,Giỏi,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
78,221VHU0078,Bùi Gia Dũng,221MA01,Marketing,2.5,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
79,221VHU0079,Đỗ Thu Quân,221NG02,Ngôn ngữ Anh,2.95,Khá,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
80,221VHU0080,Lê Thị Phúc,221NG01,Ngôn ngữ Nhật,3.04,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
81,221VHU0081,Phan Khánh Tuấn,221MA03,Marketing,3.63,Xuất sắc,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
82,221VHU0082,Lê Hoàng Tuấn,221TH01,Thiết kế đồ họa,2.05,Trung bình,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
83,221VHU0083,Lê Thị Bình,221TH03,Thiết kế đồ họa,3.55,Giỏi,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
84,221VHU0084,Vũ Minh Nam,221MA02,Marketing,2.88,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
85,221VHU0085,Nguyễn Gia Tuấn,221KỸ03,Kỹ thuật phần mềm,3.04,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
86,221VHU0086,Trần Hoàng Châu,221TÀ03,Tài chính - Ngân hàng,3.81,Xuất sắc,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
87,221VHU0087,Đặng Ánh Châu,221KẾ02,Kế toán,3.49,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
88,221VHU0088,Nguyễn Ngọc Phúc,221NG03,Ngôn ngữ Nhật,2.43,Trung bình,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
89,221VHU0089,Đặng Tuấn Em,221KẾ01,Kế toán,3.32,Giỏi,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
90,221VHU0090,Hoàng Thị Bình,221CÔ02,Công nghệ thông tin,3.12,Khá,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
91,221VHU0091,Phan Hoàng Vinh,221TÂ01,Tâm lý học,2.67,Khá,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
92,221VHU0092,Huỳnh Đức Thảo,221KẾ03,Kế toán,2.38,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
93,221VHU0093,Dương Tuấn Sơn,221KỸ01,Kỹ thuật phần mềm,2.57,Khá,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
94,221VHU0094,Phan Hoàng Tâm,221NG03,Ngôn ngữ Anh,3.86,Xuất sắc,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
95,221VHU0095,Vũ Thị Huy,221QU02,Quản trị dịch vụ du lịch và lữ hành,2.14,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
96,221VHU0096,Dương Quang Thảo,221ĐÔ03,Đông phương học,2.6,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
97,221VHU0097,Đỗ Phương Khoa,221MA01,Marketing,2.33,Trung bình,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
98,221VHU0098,Ngô Minh Linh,221TH02,Thiết kế đồ họa,3.33,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
99,221VHU0099,Dương Quang Yến,221KẾ03,Kế toán,2.95,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
100,221VHU0100,Lê Khánh Hùng,221TH03,Thiết kế đồ họa,3.74,Xuất sắc,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
101,221VHU0101,Lê Hoàng Châu,221CÔ03,Công nghệ thông tin,3.66,Xuất sắc,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
102,221VHU0102,Hồ Phương Tâm,221QU03,Quản trị kinh doanh,3.77,Xuất sắc,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
103,221VHU0103,Lý Tuấn Yến,221TH01,Thiết kế đồ họa,2.71,Khá,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
104,221VHU0104,Dương Thu Quân,221KỸ03,Kỹ thuật phần mềm,2.77,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
105,221VHU0105,Vũ Khánh Thảo,221ĐÔ02,Đông phương học,2.32,Trung bình,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
106,221VHU0106,Huỳnh Thành Tâm,221QU02,Quản trị dịch vụ du lịch và lữ hành,3.29,Giỏi,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
107,221VHU0107,Trần Đức Yến,221NG01,Ngôn ngữ Anh,2.45,Trung bình,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
108,221VHU0108,Trần Tuấn Hải,221NG02,Ngôn ngữ Nhật,3.77,Xuất sắc,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
109,221VHU0109,Dương Văn Bình,221ĐÔ03,Đông phương học,2.63,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
110,221VHU0110,Võ Ánh Sơn,221QU02,Quản trị dịch vụ du lịch và lữ hành,2.34,Trung bình,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
111,221VHU0111,Lê Thu Hùng,221MA02,Marketing,3.9,Xuất sắc,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
112,221VHU0112,Đỗ Ngọc Phong,221QU01,Quản trị dịch vụ du lịch và lữ hành,2.01,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
113,221VHU0113,Vũ Thị Quân,221ĐÔ01,Đông phương học,2.55,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
114,221VHU0114,Đỗ Ánh Uyên,221KỸ03,Kỹ thuật phần mềm,3.29,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
115,221VHU0115,Phạm Ngọc Tuấn,221NG03,Ngôn ngữ Anh,2.93,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
116,221VHU0116,Ngô Văn Hương,221CÔ01,Công nghệ thông tin,2.25,Trung bình,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
117,221VHU0117,Trần Ánh Em,221CÔ03,Công nghệ thông tin,2.32,Trung bình,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
118,221VHU0118,Nguyễn Hoàng Vinh,221ĐÔ02,Đông phương học,3.6,Xuất sắc,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
119,221VHU0119,Lý Khánh Phong,221TH03,Thiết kế đồ họa,2.43,Trung bình,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
120,221VHU0120,Huỳnh Ánh Tuấn,221NG02,Ngôn ngữ Nhật,2.52,Khá,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
121,221VHU0121,Lê Đức Mai,221MA03,Marketing,2.26,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
122,221VHU0122,Ngô Khánh Em,221QU03,Quản trị dịch vụ du lịch và lữ hành,2.19,Trung bình,Đạt (IELTS 5.5+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
123,221VHU0123,Phạm Thị Phong,221ĐÔ03,Đông phương học,2.25,Trung bình,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
124,221VHU0124,Ngô Thu Nam,221TÀ01,Tài chính - Ngân hàng,3.71,Xuất sắc,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
125,221VHU0125,Lý Phương Yến,221MA02,Marketing,2.68,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
126,221VHU0126,Hoàng Minh Phong,221QU03,Quản trị kinh doanh,3.77,Xuất sắc,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
127,221VHU0127,Ngô Minh Hải,221CÔ03,Công nghệ thông tin,3.38,Giỏi,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
128,221VHU0128,Nguyễn Gia Trang,221QU02,Quản trị kinh doanh,3.34,Giỏi,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
129,221VHU0129,Phạm Thành Nam,221ĐÔ03,Đông phương học,3.14,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
130,221VHU0130,Đỗ Ánh Hùng,221ĐÔ03,Đông phương học,2.78,Khá,Đạt (TOEIC 450+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
131,221VHU0131,Lý Thành Linh,221NG03,Ngôn ngữ Nhật,3.08,Khá,Đạt (IELTS 5.5+),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
132,221VHU0132,Đỗ Phương Uyên,221MA03,Marketing,3.43,Giỏi,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
133,221VHU0133,Vũ Ngọc Uyên,221TH02,Thiết kế đồ họa,2.2,Trung bình,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
134,221VHU0134,Trần Thành Mai,221ĐÔ02,Đông phương học,2.01,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
135,221VHU0135,Ngô Thị Châu,221KẾ03,Kế toán,2.43,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
136,221VHU0136,Hồ Gia Thảo,221ĐÔ01,Đông phương học,3.02,Khá,Đạt (VSTEP B1),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
137,221VHU0137,Lý Ngọc Anh,221QU01,Quản trị kinh doanh,3.66,Xuất sắc,Đạt (VSTEP B1),Đạt (CNTT Nâng cao),Đạt,Đủ điều kiện tốt nghiệp
138,221VHU0138,Trần Phương Thảo,221NG03,Ngôn ngữ Nhật,3.01,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
139,221VHU0139,Trần Quang Hương,221ĐÔ02,Đông phương học,2.0,Trung bình,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
140,221VHU0140,Hồ Quang Tuấn,221MA03,Marketing,2.79,Khá,Đạt (TOEIC 450+),Đạt (MOS),Đạt,Đủ điều kiện tốt nghiệp
