STT,Mã sinh viên,Họ và tên,Ngành học,Quê quán,Đối tượng miễn giảm,Mức miễn giảm đề xuất,Tình trạng hồ sơ
111,241VHU0111,Hoàng Tuấn Hùng,Ngôn ngữ Nhật,Đồng Nai,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Bổ sung HS
112,241VHU0112,Huỳnh Ánh Uyên,Công nghệ thông tin,Đắk Lắk,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
113,241VHU0113,Lý Ánh Châu,Đông phương học,Bến Tre,Hộ cận nghèo,50% Học phí,Đã duyệt - Bổ sung HS
114,241VHU0114,Nguyễn Thu Hương,Quản trị kinh doanh,Bình Định,Con thương binh / bệnh binh,100% Học phí,Chờ xác minh địa phương
115,241VHU0115,Đỗ Khánh Yến,Ngôn ngữ Nhật,Tiền Giang,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
116,241VHU0116,Phan Minh Bình,Quản trị kinh doanh,Lâm Đồng,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Đúng hạn
117,241VHU0117,Lý Ngọc Phúc,Thiết kế đồ họa,TP. Hồ Chí Minh,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
118,241VHU0118,Đỗ Minh Hải,Marketing,An Giang,Hộ cận nghèo,50% Học phí,Đã duyệt - Bổ sung HS
119,241VHU0119,Dương Văn Dũng,Tâm lý học,Long An,Con thương binh / bệnh binh,100% Học phí,Chờ xác minh địa phương
120,241VHU0120,Huỳnh Phương Anh,Ngôn ngữ Anh,Bình Định,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
121,241VHU0121,Vũ Hoàng Nga,Quản trị dịch vụ du lịch và lữ hành,Bến Tre,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Bổ sung HS
122,241VHU0122,Phan Hoàng Tuấn,Tài chính - Ngân hàng,Tây Ninh,Hộ nghèo,70% Học phí,Đã duyệt - Đúng hạn
123,241VHU0123,Vũ Thị Hương,Tâm lý học,Bến Tre,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
124,241VHU0124,Vũ Thị Phong,Quản trị dịch vụ du lịch và lữ hành,Bến Tre,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
125,241VHU0125,Hoàng Đức Thảo,Ngôn ngữ Anh,Tây Ninh,Hộ nghèo,70% Học phí,Đã duyệt - Bổ sung HS
126,241VHU0126,Hoàng Ngọc Vinh,Quản trị kinh doanh,Bình Dương,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Bổ sung HS
127,241VHU0127,Phan Quang Em,Công nghệ thông tin,TP. Hồ Chí Minh,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
128,241VHU0128,Võ Thành Dũng,Ngôn ngữ Anh,Long An,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Bổ sung HS
129,241VHU0129,Bùi Đức Huy,Quản trị dịch vụ du lịch và lữ hành,An Giang,Hộ nghèo,70% Học phí,Chờ xác minh địa phương
130,241VHU0130,Huỳnh Ánh Sơn,Quản trị kinh doanh,Cần Thơ,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Bổ sung HS
131,241VHU0131,Lý Khánh Hải,Quản trị dịch vụ du lịch và lữ hành,Bình Dương,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Bổ sung HS
132,241VHU0132,Nguyễn Hoàng Nam,Tâm lý học,Tây Ninh,Hộ nghèo,70% Học phí,Đã duyệt - Đúng hạn
133,241VHU0133,Ngô Ánh Hương,Quản trị dịch vụ du lịch và lữ hành,TP. Hồ Chí Minh,Hộ nghèo,70% Học phí,Chờ xác minh địa phương
134,241VHU0134,Ngô Văn Bình,Ngôn ngữ Anh,TP. Hồ Chí Minh,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
135,241VHU0135,Ngô Thu Mai,Ngôn ngữ Anh,Tiền Giang,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
136,241VHU0136,Lý Đức Châu,Ngôn ngữ Nhật,Đắk Lắk,Con thương binh / bệnh binh,100% Học phí,Chờ xác minh địa phương
137,241VHU0137,Ngô Đức Em,Tài chính - Ngân hàng,Lâm Đồng,Hộ cận nghèo,50% Học phí,Đã duyệt - Đúng hạn
138,241VHU0138,Lê Văn Phong,Đông phương học,Đắk Lắk,Hộ cận nghèo,50% Học phí,Đã duyệt - Đúng hạn
139,241VHU0139,Dương Khánh Tâm,Tâm lý học,Tiền Giang,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
140,241VHU0140,Dương Phương Em,Tâm lý học,Tây Ninh,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Đúng hạn
141,241VHU0141,Dương Hoàng Trang,Công nghệ thông tin,Bến Tre,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
142,241VHU0142,Bùi Thu Bình,Kế toán,Đắk Lắk,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Bổ sung HS
143,241VHU0143,Phan Phương Tuấn,Kỹ thuật phần mềm,Đắk Lắk,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Bổ sung HS
144,241VHU0144,Trần Thu Tuấn,Tài chính - Ngân hàng,Bến Tre,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Đúng hạn
145,241VHU0145,Đỗ Ngọc Thảo,Công nghệ thông tin,Long An,Hộ cận nghèo,50% Học phí,Đã duyệt - Bổ sung HS
146,241VHU0146,Lê Thu Uyên,Quản trị kinh doanh,Đồng Nai,Hộ nghèo,70% Học phí,Đã duyệt - Bổ sung HS
147,241VHU0147,Phạm Tuấn Phong,Tâm lý học,Đồng Nai,Sinh viên vùng dân tộc thiểu số,50% Học phí,Chờ xác minh địa phương
148,241VHU0148,Vũ Quang Linh,Kế toán,Bến Tre,Sinh viên vùng dân tộc thiểu số,50% Học phí,Chờ xác minh địa phương
149,241VHU0149,Võ Văn Châu,Tài chính - Ngân hàng,Tiền Giang,Hộ cận nghèo,50% Học phí,Đã duyệt - Bổ sung HS
150,241VHU0150,Phạm Ngọc Uyên,Ngôn ngữ Nhật,Bình Dương,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
151,241VHU0151,Dương Ánh Linh,Đông phương học,Đồng Nai,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
152,241VHU0152,Dương Thị Châu,Marketing,Bình Định,Hộ nghèo,70% Học phí,Đã duyệt - Bổ sung HS
153,241VHU0153,Phạm Thành Hùng,Kỹ thuật phần mềm,Tiền Giang,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
154,241VHU0154,Hoàng Khánh Hải,Ngôn ngữ Nhật,Bình Dương,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Đúng hạn
155,241VHU0155,Ngô Tuấn Sơn,Thiết kế đồ họa,Bến Tre,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Bổ sung HS
156,241VHU0156,Dương Hoàng Trang,Công nghệ thông tin,Bình Định,Hộ cận nghèo,50% Học phí,Đã duyệt - Đúng hạn
157,241VHU0157,Nguyễn Khánh Hương,Ngôn ngữ Nhật,Bến Tre,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Bổ sung HS
158,241VHU0158,Bùi Tuấn Trang,Tài chính - Ngân hàng,Lâm Đồng,Mồ côi cả cha lẫn mẹ,100% Học phí,Chờ xác minh địa phương
159,241VHU0159,Dương Ngọc Huy,Quản trị dịch vụ du lịch và lữ hành,Long An,Hộ nghèo,70% Học phí,Đã duyệt - Bổ sung HS
160,241VHU0160,Võ Đức Phong,Tài chính - Ngân hàng,Long An,Hộ cận nghèo,50% Học phí,Đã duyệt - Đúng hạn
161,241VHU0161,Đỗ Minh Nga,Thiết kế đồ họa,Đắk Lắk,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
162,241VHU0162,Đặng Thành Phúc,Tâm lý học,Long An,Sinh viên khuyết tật,100% Học phí,Chờ xác minh địa phương
163,241VHU0163,Huỳnh Đức Dũng,Công nghệ thông tin,Long An,Hộ cận nghèo,50% Học phí,Chờ xác minh địa phương
164,241VHU0164,Dương Minh Linh,Thiết kế đồ họa,Đắk Lắk,Hộ nghèo,70% Học phí,Chờ xác minh địa phương
165,241VHU0165,Trần Tuấn Khoa,Tài chính - Ngân hàng,Tiền Giang,Hộ nghèo,70% Học phí,Đã duyệt - Bổ sung HS
166,241VHU0166,Huỳnh Thu Huy,Kỹ thuật phần mềm,Tiền Giang,Con thương binh / bệnh binh,100% Học phí,Đã duyệt - Bổ sung HS
167,241VHU0167,Hoàng Ngọc Khoa,Thiết kế đồ họa,Cần Thơ,Con thương binh / bệnh binh,100% Học phí,Chờ xác minh địa phương
168,241VHU0168,Bùi Tuấn Uyên,Kế toán,An Giang,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Bổ sung HS
169,241VHU0169,Hoàng Phương Tâm,Tâm lý học,Đắk Lắk,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Bổ sung HS
170,241VHU0170,Phạm Hoàng Phong,Công nghệ thông tin,Cần Thơ,Hộ nghèo,70% Học phí,Chờ xác minh địa phương
171,241VHU0171,Phạm Minh Anh,Marketing,Tiền Giang,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
172,241VHU0172,Đỗ Thị Khoa,Công nghệ thông tin,Đồng Nai,Sinh viên vùng dân tộc thiểu số,50% Học phí,Chờ xác minh địa phương
173,241VHU0173,Vũ Phương Yến,Kế toán,Bình Định,Hộ nghèo,70% Học phí,Đã duyệt - Đúng hạn
174,241VHU0174,Dương Tuấn Tuấn,Kỹ thuật phần mềm,Đồng Nai,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Bổ sung HS
175,241VHU0175,Lý Quang Thảo,Quản trị dịch vụ du lịch và lữ hành,Lâm Đồng,Sinh viên vùng dân tộc thiểu số,50% Học phí,Đã duyệt - Đúng hạn
176,241VHU0176,Đỗ Gia Em,Tâm lý học,Bến Tre,Mồ côi cả cha lẫn mẹ,100% Học phí,Đã duyệt - Bổ sung HS
177,241VHU0177,Đỗ Văn Huy,Tài chính - Ngân hàng,Tiền Giang,Hộ cận nghèo,50% Học phí,Đã duyệt - Bổ sung HS
178,241VHU0178,Lê Đức Vinh,Ngôn ngữ Anh,Tiền Giang,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Bổ sung HS
179,241VHU0179,Đặng Thành Vinh,Marketing,Long An,Sinh viên khuyết tật,100% Học phí,Đã duyệt - Bổ sung HS
