STT,Mã hồ sơ,Họ và tên,Ngày sinh,Tỉnh/Thành phố,Ngành xét tuyển,Phương thức xét tuyển,Điểm xét tuyển,Kết quả
13,261VHU0013,Phan Tuấn Phong,09/03/2008,Đồng Nai,Marketing,Xét điểm ĐGNL ĐHQG,774.0,Trúng tuyển
14,261VHU0014,Võ Hoàng Tâm,08/03/2008,Cần Thơ,Marketing,Xét điểm ĐGNL ĐHQG,752.0,Trúng tuyển
15,261VHU0015,Lý Thị Yến,06/11/2008,Bến Tre,Công nghệ thông tin,Xét học bạ THPT,19.6,Trúng tuyển
16,261VHU0016,Lê Gia Mai,18/01/2008,Lâm Đồng,Quản trị dịch vụ du lịch và lữ hành,Xét điểm thi THPT,23.56,Trúng tuyển
17,261VHU0017,Phạm Tuấn Sơn,10/07/2008,Long An,Kế toán,Xét điểm ĐGNL ĐHQG,729.0,Trúng tuyển
18,261VHU0018,Dương Văn Vinh,25/03/2008,Cần Thơ,Tâm lý học,Xét điểm thi THPT,28.2,Trúng tuyển
19,261VHU0019,Phạm Khánh Trang,07/03/2008,Tây Ninh,Kế toán,Xét điểm ĐGNL ĐHQG,793.0,Trúng tuyển
20,261VHU0020,Huỳnh Thu Yến,16/01/2008,Bình Định,Ngôn ngữ Nhật,Xét học bạ THPT,24.29,Trúng tuyển
21,261VHU0021,Đỗ Khánh Huy,19/02/2008,Bình Định,Quản trị kinh doanh,Xét học bạ THPT,20.53,Trúng tuyển
22,261VHU0022,Lý Khánh Châu,16/09/2008,Long An,Ngôn ngữ Nhật,Xét học bạ THPT,19.35,Trúng tuyển
23,261VHU0023,Võ Thu Thảo,25/12/2008,Đắk Lắk,Marketing,Xét học bạ THPT,27.75,Trúng tuyển
24,261VHU0024,Phan Hoàng Huy,15/09/2008,Tiền Giang,Marketing,Xét điểm ĐGNL ĐHQG,847.0,Trúng tuyển
25,261VHU0025,Phạm Đức Hương,18/04/2008,An Giang,Kỹ thuật phần mềm,Xét điểm thi THPT,18.22,Trúng tuyển
26,261VHU0026,Vũ Văn Châu,03/01/2008,Tây Ninh,Tâm lý học,Xét điểm ĐGNL ĐHQG,622.0,Không trúng tuyển
27,261VHU0027,Lê Thu Hương,18/03/2008,Đắk Lắk,Kế toán,Xét điểm ĐGNL ĐHQG,784.0,Trúng tuyển
28,261VHU0028,Lý Đức Phong,22/07/2008,Tây Ninh,Marketing,Xét học bạ THPT,18.99,Trúng tuyển
29,261VHU0029,Ngô Gia Nga,21/02/2008,TP. Hồ Chí Minh,Tâm lý học,Xét học bạ THPT,25.07,Trúng tuyển
30,261VHU0030,Hồ Hoàng Khoa,18/08/2008,Long An,Kỹ thuật phần mềm,Xét học bạ THPT,20.01,Trúng tuyển
31,261VHU0031,Ngô Thành Hùng,03/08/2008,Cần Thơ,Ngôn ngữ Anh,Xét học bạ THPT,27.18,Trúng tuyển
32,261VHU0032,Phạm Văn Trang,25/04/2008,Long An,Ngôn ngữ Nhật,Xét học bạ THPT,28.17,Trúng tuyển
33,261VHU0033,Ngô Ngọc Phong,06/07/2008,TP. Hồ Chí Minh,Quản trị kinh doanh,Xét điểm thi THPT,27.48,Trúng tuyển
34,261VHU0034,Hồ Minh Nga,24/09/2008,Lâm Đồng,Kế toán,Xét điểm thi THPT,25.31,Trúng tuyển
35,261VHU0035,Lý Thành Hải,19/12/2008,Cần Thơ,Kế toán,Xét học bạ THPT,28.17,Trúng tuyển
36,261VHU0036,Trần Hoàng Khoa,17/09/2008,Long An,Công nghệ thông tin,Xét học bạ THPT,24.13,Trúng tuyển
37,261VHU0037,Trần Thu Châu,22/04/2008,Bến Tre,Thiết kế đồ họa,Xét học bạ THPT,24.25,Trúng tuyển
38,261VHU0038,Phạm Ánh Hương,03/07/2008,Lâm Đồng,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,615.0,Không trúng tuyển
39,261VHU0039,Bùi Minh Hải,09/07/2008,Long An,Đông phương học,Xét điểm ĐGNL ĐHQG,719.0,Trúng tuyển
40,261VHU0040,Đặng Ngọc Khoa,19/02/2008,Bình Định,Kỹ thuật phần mềm,Xét học bạ THPT,22.81,Trúng tuyển
41,261VHU0041,Phan Thu Hùng,08/06/2008,Bình Dương,Thiết kế đồ họa,Xét điểm thi THPT,27.25,Trúng tuyển
42,261VHU0042,Huỳnh Ngọc Sơn,26/11/2008,Cần Thơ,Tâm lý học,Xét điểm thi THPT,24.42,Trúng tuyển
43,261VHU0043,Nguyễn Tuấn Sơn,05/05/2008,Bình Định,Kế toán,Xét điểm ĐGNL ĐHQG,639.0,Không trúng tuyển
44,261VHU0044,Phạm Hoàng Sơn,07/12/2008,Tây Ninh,Thiết kế đồ họa,Xét điểm thi THPT,20.96,Trúng tuyển
45,261VHU0045,Phan Tuấn Trang,28/01/2008,Bình Định,Kế toán,Xét điểm ĐGNL ĐHQG,786.0,Trúng tuyển
46,261VHU0046,Ngô Khánh Hùng,05/11/2008,Bình Dương,Công nghệ thông tin,Xét học bạ THPT,21.5,Trúng tuyển
47,261VHU0047,Huỳnh Hoàng Nga,01/02/2008,Bình Định,Ngôn ngữ Nhật,Xét điểm ĐGNL ĐHQG,763.0,Trúng tuyển
48,261VHU0048,Hoàng Thu Bình,14/03/2008,TP. Hồ Chí Minh,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,810.0,Trúng tuyển
49,261VHU0049,Đặng Quang Bình,22/02/2008,Tây Ninh,Tài chính - Ngân hàng,Xét học bạ THPT,25.16,Trúng tuyển
50,261VHU0050,Ngô Ánh Vinh,26/03/2008,Bến Tre,Thiết kế đồ họa,Xét học bạ THPT,27.08,Trúng tuyển
51,261VHU0051,Nguyễn Thành Vinh,28/12/2008,Đồng Nai,Tài chính - Ngân hàng,Xét điểm thi THPT,26.42,Trúng tuyển
52,261VHU0052,Võ Thành Uyên,28/08/2008,Đồng Nai,Kỹ thuật phần mềm,Xét điểm thi THPT,27.16,Trúng tuyển
53,261VHU0053,Phan Khánh Nga,28/04/2008,Đồng Nai,Tài chính - Ngân hàng,Xét điểm thi THPT,26.62,Trúng tuyển
54,261VHU0054,Nguyễn Tuấn Hải,03/05/2008,Tây Ninh,Marketing,Xét điểm thi THPT,20.93,Trúng tuyển
55,261VHU0055,Hồ Tuấn Sơn,09/03/2008,An Giang,Tài chính - Ngân hàng,Xét học bạ THPT,19.21,Trúng tuyển
56,261VHU0056,Võ Văn Dũng,26/06/2008,Bến Tre,Quản trị dịch vụ du lịch và lữ hành,Xét điểm thi THPT,21.63,Trúng tuyển
57,261VHU0057,Phạm Gia Tâm,14/01/2008,Cần Thơ,Quản trị kinh doanh,Xét điểm thi THPT,18.47,Trúng tuyển
58,261VHU0058,Phan Quang Nam,20/06/2008,Lâm Đồng,Kỹ thuật phần mềm,Xét điểm ĐGNL ĐHQG,950.0,Trúng tuyển
59,261VHU0059,Phạm Hoàng Huy,11/07/2008,Đắk Lắk,Ngôn ngữ Nhật,Xét điểm thi THPT,25.0,Trúng tuyển
60,261VHU0060,Đặng Thu Em,13/11/2008,Đắk Lắk,Quản trị kinh doanh,Xét điểm thi THPT,24.98,Trúng tuyển
61,261VHU0061,Huỳnh Ánh Tâm,01/05/2008,Bình Dương,Kế toán,Xét điểm thi THPT,23.75,Trúng tuyển
62,261VHU0062,Phan Gia Tâm,15/08/2008,Lâm Đồng,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,722.0,Trúng tuyển
63,261VHU0063,Phan Thu Phong,10/09/2008,Lâm Đồng,Tâm lý học,Xét học bạ THPT,24.92,Trúng tuyển
64,261VHU0064,Bùi Thị Yến,26/04/2008,Long An,Quản trị kinh doanh,Xét điểm ĐGNL ĐHQG,718.0,Trúng tuyển
65,261VHU0065,Nguyễn Văn Hương,03/08/2008,Bến Tre,Ngôn ngữ Anh,Xét điểm ĐGNL ĐHQG,923.0,Trúng tuyển
66,261VHU0066,Phan Hoàng Uyên,05/11/2008,Đắk Lắk,Marketing,Xét điểm thi THPT,22.2,Trúng tuyển
67,261VHU0067,Nguyễn Phương Yến,26/12/2008,Cần Thơ,Kỹ thuật phần mềm,Xét điểm thi THPT,20.3,Trúng tuyển
68,261VHU0068,Dương Văn Sơn,26/08/2008,Lâm Đồng,Quản trị kinh doanh,Xét học bạ THPT,22.79,Trúng tuyển
69,261VHU0069,Bùi Phương Nga,14/09/2008,Tiền Giang,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,939.0,Trúng tuyển
70,261VHU0070,Huỳnh Hoàng Phong,27/11/2008,Bình Dương,Ngôn ngữ Anh,Xét điểm thi THPT,25.89,Trúng tuyển
71,261VHU0071,Lý Tuấn Hương,10/04/2008,Bình Dương,Kế toán,Xét điểm thi THPT,18.81,Trúng tuyển
72,261VHU0072,Bùi Quang Sơn,13/12/2008,Long An,Kỹ thuật phần mềm,Xét học bạ THPT,19.58,Trúng tuyển
73,261VHU0073,Phan Thị Nam,14/01/2008,Đồng Nai,Marketing,Xét điểm thi THPT,23.7,Trúng tuyển
74,261VHU0074,Ngô Gia Yến,25/10/2008,Bến Tre,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,607.0,Không trúng tuyển
75,261VHU0075,Lý Văn Linh,27/07/2008,Cần Thơ,Kế toán,Xét điểm thi THPT,26.96,Trúng tuyển
76,261VHU0076,Vũ Ngọc Hương,13/06/2008,Lâm Đồng,Kế toán,Xét điểm thi THPT,23.1,Trúng tuyển
77,261VHU0077,Hồ Hoàng Phúc,18/01/2008,Bến Tre,Ngôn ngữ Anh,Xét học bạ THPT,28.3,Trúng tuyển
78,261VHU0078,Nguyễn Thị Trang,06/01/2008,Bình Dương,Marketing,Xét học bạ THPT,27.1,Trúng tuyển
79,261VHU0079,Hồ Quang Hải,13/05/2008,Bến Tre,Ngôn ngữ Anh,Xét điểm thi THPT,21.54,Trúng tuyển
80,261VHU0080,Võ Khánh Châu,02/06/2008,Đồng Nai,Ngôn ngữ Anh,Xét học bạ THPT,25.86,Trúng tuyển
81,261VHU0081,Lê Phương Trang,07/01/2008,An Giang,Công nghệ thông tin,Xét học bạ THPT,27.97,Trúng tuyển
82,261VHU0082,Hoàng Đức Em,07/08/2008,Đắk Lắk,Ngôn ngữ Anh,Xét điểm ĐGNL ĐHQG,643.0,Không trúng tuyển
83,261VHU0083,Võ Phương Linh,24/12/2008,Bình Định,Thiết kế đồ họa,Xét điểm ĐGNL ĐHQG,831.0,Trúng tuyển
84,261VHU0084,Huỳnh Minh Dũng,19/11/2008,Bến Tre,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,27.75,Trúng tuyển
85,261VHU0085,Hồ Hoàng Hải,21/04/2008,Bình Định,Kỹ thuật phần mềm,Xét điểm ĐGNL ĐHQG,862.0,Trúng tuyển
86,261VHU0086,Đặng Khánh Tuấn,19/01/2008,Tây Ninh,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,26.36,Trúng tuyển
87,261VHU0087,Ngô Tuấn Linh,01/07/2008,Tiền Giang,Kỹ thuật phần mềm,Xét điểm ĐGNL ĐHQG,846.0,Trúng tuyển
88,261VHU0088,Phạm Gia Linh,14/03/2008,Đắk Lắk,Đông phương học,Xét điểm thi THPT,25.43,Trúng tuyển
89,261VHU0089,Võ Ánh Sơn,24/10/2008,Bình Dương,Ngôn ngữ Anh,Xét điểm thi THPT,22.57,Trúng tuyển
90,261VHU0090,Bùi Khánh Hương,08/08/2008,An Giang,Kỹ thuật phần mềm,Xét điểm thi THPT,27.26,Trúng tuyển
91,261VHU0091,Hồ Quang Anh,07/06/2008,Bình Dương,Ngôn ngữ Anh,Xét điểm thi THPT,19.91,Trúng tuyển
92,261VHU0092,Bùi Minh Thảo,17/04/2008,Bình Định,Tâm lý học,Xét điểm thi THPT,23.84,Trúng tuyển
93,261VHU0093,Vũ Hoàng Nam,23/08/2008,Lâm Đồng,Ngôn ngữ Anh,Xét điểm ĐGNL ĐHQG,888.0,Trúng tuyển
94,261VHU0094,Lý Ngọc Anh,23/04/2008,Bình Dương,Kỹ thuật phần mềm,Xét điểm thi THPT,20.33,Trúng tuyển
95,261VHU0095,Đỗ Ngọc Sơn,24/09/2008,Tây Ninh,Ngôn ngữ Nhật,Xét điểm thi THPT,22.47,Trúng tuyển
96,261VHU0096,Đỗ Hoàng Nga,04/12/2008,Đồng Nai,Kế toán,Xét điểm thi THPT,20.64,Trúng tuyển
97,261VHU0097,Bùi Thị Vinh,07/12/2008,Tiền Giang,Ngôn ngữ Nhật,Xét điểm ĐGNL ĐHQG,670.0,Trúng tuyển
98,261VHU0098,Võ Hoàng Tâm,04/04/2008,Bình Dương,Ngôn ngữ Nhật,Xét điểm ĐGNL ĐHQG,708.0,Trúng tuyển
99,261VHU0099,Vũ Quang Phúc,05/05/2008,TP. Hồ Chí Minh,Kế toán,Xét học bạ THPT,25.43,Trúng tuyển
100,261VHU0100,Trần Thu Huy,25/08/2008,Bình Định,Tâm lý học,Xét học bạ THPT,24.7,Trúng tuyển
101,261VHU0101,Nguyễn Ánh Huy,06/01/2008,Bình Dương,Ngôn ngữ Anh,Xét điểm thi THPT,22.62,Trúng tuyển
102,261VHU0102,Lý Thị Châu,21/11/2008,TP. Hồ Chí Minh,Marketing,Xét điểm thi THPT,18.78,Trúng tuyển
103,261VHU0103,Hoàng Thành Tâm,04/09/2008,Bến Tre,Kế toán,Xét học bạ THPT,28.44,Trúng tuyển
104,261VHU0104,Vũ Phương Quân,10/10/2008,Bến Tre,Marketing,Xét điểm thi THPT,27.54,Trúng tuyển
105,261VHU0105,Đặng Ánh Thảo,04/04/2008,Lâm Đồng,Công nghệ thông tin,Xét điểm ĐGNL ĐHQG,965.0,Trúng tuyển
106,261VHU0106,Phan Minh Tuấn,18/02/2008,Long An,Kỹ thuật phần mềm,Xét học bạ THPT,20.52,Trúng tuyển
107,261VHU0107,Nguyễn Gia Nga,02/04/2008,Bình Dương,Tâm lý học,Xét điểm ĐGNL ĐHQG,779.0,Trúng tuyển
108,261VHU0108,Đặng Hoàng Nga,09/11/2008,An Giang,Kỹ thuật phần mềm,Xét điểm ĐGNL ĐHQG,689.0,Trúng tuyển
109,261VHU0109,Phan Gia Dũng,09/03/2008,Bình Định,Ngôn ngữ Nhật,Xét học bạ THPT,24.8,Trúng tuyển
110,261VHU0110,Trần Thành Huy,10/08/2008,Bình Định,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,913.0,Trúng tuyển
111,261VHU0111,Dương Hoàng Huy,17/09/2008,Tiền Giang,Tâm lý học,Xét điểm thi THPT,27.9,Trúng tuyển
112,261VHU0112,Dương Thị Thảo,20/05/2008,TP. Hồ Chí Minh,Công nghệ thông tin,Xét điểm thi THPT,25.71,Trúng tuyển
113,261VHU0113,Lê Đức Tuấn,25/11/2008,Bình Dương,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,961.0,Trúng tuyển
114,261VHU0114,Trần Phương Yến,15/05/2008,Long An,Thiết kế đồ họa,Xét điểm thi THPT,23.45,Trúng tuyển
115,261VHU0115,Ngô Tuấn Phong,11/06/2008,Lâm Đồng,Kỹ thuật phần mềm,Xét điểm thi THPT,21.65,Trúng tuyển
116,261VHU0116,Phạm Khánh Phúc,10/11/2008,Bến Tre,Tài chính - Ngân hàng,Xét điểm thi THPT,25.28,Trúng tuyển
117,261VHU0117,Trần Ngọc Châu,25/07/2008,Cần Thơ,Tài chính - Ngân hàng,Xét điểm thi THPT,21.39,Trúng tuyển
118,261VHU0118,Nguyễn Tuấn Sơn,17/06/2008,An Giang,Ngôn ngữ Anh,Xét điểm thi THPT,18.57,Trúng tuyển
119,261VHU0119,Lý Tuấn Nga,05/05/2008,Tiền Giang,Công nghệ thông tin,Xét học bạ THPT,20.8,Trúng tuyển
120,261VHU0120,Lý Thị Anh,23/03/2008,Bình Dương,Đông phương học,Xét điểm ĐGNL ĐHQG,904.0,Trúng tuyển
121,261VHU0121,Nguyễn Thu Nam,04/08/2008,Bình Định,Kỹ thuật phần mềm,Xét học bạ THPT,28.42,Trúng tuyển
122,261VHU0122,Hoàng Ngọc Uyên,14/08/2008,Tiền Giang,Kế toán,Xét điểm ĐGNL ĐHQG,868.0,Trúng tuyển
123,261VHU0123,Vũ Ngọc Sơn,20/09/2008,Đắk Lắk,Thiết kế đồ họa,Xét điểm thi THPT,20.0,Trúng tuyển
124,261VHU0124,Hoàng Khánh Châu,26/09/2008,Bình Dương,Kế toán,Xét điểm thi THPT,21.57,Trúng tuyển
125,261VHU0125,Nguyễn Minh Vinh,22/08/2008,Long An,Kế toán,Xét điểm ĐGNL ĐHQG,820.0,Trúng tuyển
126,261VHU0126,Dương Thu Phong,18/07/2008,Tiền Giang,Tài chính - Ngân hàng,Xét điểm thi THPT,23.8,Trúng tuyển
127,261VHU0127,Bùi Khánh Hải,08/07/2008,TP. Hồ Chí Minh,Tâm lý học,Xét học bạ THPT,24.0,Trúng tuyển
128,261VHU0128,Bùi Hoàng Phong,22/11/2008,Long An,Tâm lý học,Xét điểm thi THPT,22.05,Trúng tuyển
129,261VHU0129,Lý Văn Em,04/08/2008,Bình Định,Ngôn ngữ Nhật,Xét điểm ĐGNL ĐHQG,726.0,Trúng tuyển
130,261VHU0130,Dương Văn Vinh,05/02/2008,Tiền Giang,Thiết kế đồ họa,Xét điểm thi THPT,27.14,Trúng tuyển
131,261VHU0131,Võ Quang Thảo,28/06/2008,Lâm Đồng,Tâm lý học,Xét điểm thi THPT,24.82,Trúng tuyển
132,261VHU0132,Hồ Quang Trang,02/10/2008,Bình Định,Tâm lý học,Xét điểm thi THPT,27.16,Trúng tuyển
133,261VHU0133,Vũ Tuấn Tuấn,14/02/2008,Lâm Đồng,Kế toán,Xét học bạ THPT,25.84,Trúng tuyển
134,261VHU0134,Phạm Ngọc Phúc,02/06/2008,TP. Hồ Chí Minh,Tâm lý học,Xét điểm thi THPT,27.49,Trúng tuyển
135,261VHU0135,Đặng Quang Linh,14/10/2008,Lâm Đồng,Marketing,Xét học bạ THPT,20.56,Trúng tuyển
136,261VHU0136,Huỳnh Thành Phúc,20/11/2008,Đồng Nai,Kỹ thuật phần mềm,Xét điểm ĐGNL ĐHQG,931.0,Trúng tuyển
137,261VHU0137,Lý Ánh Em,15/05/2008,Lâm Đồng,Quản trị kinh doanh,Xét điểm thi THPT,24.7,Trúng tuyển
138,261VHU0138,Nguyễn Phương Nga,03/08/2008,Tây Ninh,Kế toán,Xét điểm ĐGNL ĐHQG,808.0,Trúng tuyển
139,261VHU0139,Đặng Tuấn Nam,10/04/2008,Bến Tre,Tâm lý học,Xét điểm thi THPT,22.8,Trúng tuyển
140,261VHU0140,Lý Thị Hương,10/12/2008,Bình Dương,Marketing,Xét điểm ĐGNL ĐHQG,736.0,Trúng tuyển
141,261VHU0141,Nguyễn Khánh Tuấn,28/11/2008,Đắk Lắk,Marketing,Xét điểm thi THPT,18.09,Trúng tuyển
142,261VHU0142,Trần Ánh Vinh,08/10/2008,Tây Ninh,Ngôn ngữ Anh,Xét điểm thi THPT,26.15,Trúng tuyển
143,261VHU0143,Vũ Tuấn Hải,24/11/2008,Lâm Đồng,Quản trị dịch vụ du lịch và lữ hành,Xét điểm thi THPT,25.12,Trúng tuyển
144,261VHU0144,Hoàng Tuấn Dũng,26/08/2008,TP. Hồ Chí Minh,Đông phương học,Xét điểm ĐGNL ĐHQG,615.0,Không trúng tuyển
145,261VHU0145,Đỗ Hoàng Em,14/03/2008,Đồng Nai,Kỹ thuật phần mềm,Xét điểm thi THPT,21.43,Trúng tuyển
146,261VHU0146,Hoàng Phương Sơn,09/03/2008,Bình Dương,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,791.0,Trúng tuyển
147,261VHU0147,Lý Phương Huy,15/02/2008,Long An,Tâm lý học,Xét điểm thi THPT,26.44,Trúng tuyển
148,261VHU0148,Vũ Khánh Tuấn,28/09/2008,Tây Ninh,Tâm lý học,Xét điểm ĐGNL ĐHQG,972.0,Trúng tuyển
149,261VHU0149,Lê Phương Mai,15/06/2008,Lâm Đồng,Công nghệ thông tin,Xét điểm thi THPT,23.63,Trúng tuyển
150,261VHU0150,Võ Ánh Mai,08/08/2008,TP. Hồ Chí Minh,Đông phương học,Xét điểm thi THPT,19.14,Trúng tuyển
151,261VHU0151,Bùi Ánh Hương,15/12/2008,Bình Dương,Đông phương học,Xét học bạ THPT,24.67,Trúng tuyển
152,261VHU0152,Ngô Thị Em,16/02/2008,Bình Định,Công nghệ thông tin,Xét học bạ THPT,21.2,Trúng tuyển
153,261VHU0153,Vũ Thu Em,24/12/2008,Cần Thơ,Marketing,Xét điểm thi THPT,21.9,Trúng tuyển
154,261VHU0154,Ngô Ánh Vinh,21/02/2008,Tiền Giang,Tâm lý học,Xét học bạ THPT,27.3,Trúng tuyển
155,261VHU0155,Ngô Minh Bình,15/04/2008,Tây Ninh,Tâm lý học,Xét điểm thi THPT,20.28,Trúng tuyển
156,261VHU0156,Phạm Tuấn Linh,13/05/2008,Đồng Nai,Ngôn ngữ Nhật,Xét điểm ĐGNL ĐHQG,736.0,Trúng tuyển
157,261VHU0157,Phạm Khánh Nga,21/10/2008,TP. Hồ Chí Minh,Kỹ thuật phần mềm,Xét điểm ĐGNL ĐHQG,681.0,Trúng tuyển
158,261VHU0158,Trần Phương Khoa,07/02/2008,Cần Thơ,Quản trị kinh doanh,Xét học bạ THPT,26.26,Trúng tuyển
159,261VHU0159,Phan Ánh Hải,26/10/2008,TP. Hồ Chí Minh,Quản trị kinh doanh,Xét điểm thi THPT,26.13,Trúng tuyển
160,261VHU0160,Võ Khánh Em,06/02/2008,Lâm Đồng,Thiết kế đồ họa,Xét điểm ĐGNL ĐHQG,695.0,Trúng tuyển
161,261VHU0161,Nguyễn Thành Anh,01/03/2008,Bình Dương,Tài chính - Ngân hàng,Xét học bạ THPT,24.18,Trúng tuyển
162,261VHU0162,Trần Thành Vinh,03/08/2008,Tiền Giang,Marketing,Xét điểm ĐGNL ĐHQG,643.0,Không trúng tuyển
163,261VHU0163,Đỗ Thu Tâm,20/01/2008,Đắk Lắk,Kỹ thuật phần mềm,Xét điểm thi THPT,23.29,Trúng tuyển
164,261VHU0164,Đặng Ngọc Trang,28/07/2008,Bến Tre,Công nghệ thông tin,Xét học bạ THPT,28.49,Trúng tuyển
165,261VHU0165,Phạm Ngọc Uyên,11/10/2008,Long An,Ngôn ngữ Anh,Xét học bạ THPT,27.44,Trúng tuyển
166,261VHU0166,Lê Thành Hùng,23/06/2008,Bến Tre,Quản trị dịch vụ du lịch và lữ hành,Xét điểm ĐGNL ĐHQG,822.0,Trúng tuyển
167,261VHU0167,Đặng Ngọc Quân,23/02/2008,Lâm Đồng,Quản trị dịch vụ du lịch và lữ hành,Xét điểm thi THPT,19.04,Trúng tuyển
168,261VHU0168,Phan Gia Nga,15/07/2008,Bến Tre,Quản trị kinh doanh,Xét điểm thi THPT,21.56,Trúng tuyển
169,261VHU0169,Phạm Quang Nam,05/11/2008,Tiền Giang,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,697.0,Trúng tuyển
170,261VHU0170,Lê Thị Châu,24/06/2008,Long An,Kỹ thuật phần mềm,Xét điểm thi THPT,19.01,Trúng tuyển
171,261VHU0171,Trần Ánh Sơn,14/06/2008,Lâm Đồng,Ngôn ngữ Nhật,Xét điểm thi THPT,25.04,Trúng tuyển
172,261VHU0172,Ngô Khánh Vinh,12/02/2008,An Giang,Công nghệ thông tin,Xét điểm thi THPT,24.3,Trúng tuyển
173,261VHU0173,Phan Thành Tuấn,12/09/2008,Tây Ninh,Ngôn ngữ Anh,Xét học bạ THPT,26.9,Trúng tuyển
174,261VHU0174,Phạm Phương Hùng,28/09/2008,An Giang,Quản trị dịch vụ du lịch và lữ hành,Xét học bạ THPT,26.48,Trúng tuyển
175,261VHU0175,Nguyễn Ánh Tuấn,09/12/2008,Bình Dương,Tâm lý học,Xét điểm thi THPT,18.3,Trúng tuyển
176,261VHU0176,Bùi Quang Anh,13/02/2008,Long An,Thiết kế đồ họa,Xét học bạ THPT,23.95,Trúng tuyển
177,261VHU0177,Nguyễn Thị Vinh,15/06/2008,Long An,Ngôn ngữ Nhật,Xét học bạ THPT,21.95,Trúng tuyển
178,261VHU0178,Đỗ Minh Vinh,02/03/2008,Long An,Tài chính - Ngân hàng,Xét điểm ĐGNL ĐHQG,827.0,Trúng tuyển
179,261VHU0179,Trần Tuấn Châu,16/10/2008,Tiền Giang,Kế toán,Xét điểm thi THPT,24.95,Trúng tuyển
180,261VHU0180,Ngô Minh Hải,04/05/2008,Lâm Đồng,Ngôn ngữ Nhật,Xét học bạ THPT,21.62,Trúng tuyển
181,261VHU0181,Lý Thu Tuấn,20/01/2008,TP. Hồ Chí Minh,Kế toán,Xét học bạ THPT,20.32,Trúng tuyển
182,261VHU0182,Phan Minh Hải,04/01/2008,Tiền Giang,Thiết kế đồ họa,Xét điểm thi THPT,21.04,Trúng tuyển
183,261VHU0183,Ngô Thành Em,17/09/2008,Lâm Đồng,Marketing,Xét điểm ĐGNL ĐHQG,867.0,Trúng tuyển
184,261VHU0184,Đỗ Thị Mai,15/02/2008,Tây Ninh,Tâm lý học,Xét học bạ THPT,22.58,Trúng tuyển
185,261VHU0185,Ngô Ánh Mai,04/07/2008,TP. Hồ Chí Minh,Tâm lý học,Xét điểm ĐGNL ĐHQG,759.0,Trúng tuyển
186,261VHU0186,Bùi Thành Thảo,03/07/2008,Bình Định,Ngôn ngữ Anh,Xét điểm ĐGNL ĐHQG,950.0,Trúng tuyển
187,261VHU0187,Vũ Gia Tâm,28/05/2008,Đắk Lắk,Marketing,Xét điểm ĐGNL ĐHQG,630.0,Không trúng tuyển
