student_id,student_name,gpa,english_status,informatics_status,national_defense_status,physical_education_status,tuition_status,discipline_status
SV134,Ngô Hữu Vũ,2.28,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV135,Đỗ Kim An,2.49,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV136,Hoàng Tuấn Phát,2.76,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV137,Phạm Bảo Hằng,2.45,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV138,Nguyễn Mai Như,2.32,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV139,Đỗ Hữu Phong,2.97,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV140,Nguyễn Quang Trường,1.95,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV141,Bùi Việt Đạt,3.59,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV142,Trần Bảo Hà,1.89,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV143,Phan Công Long,3.65,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV144,Hồ Quang Đạt,2.87,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV145,Huỳnh Mai Huyền,2.49,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV146,Trần Tuấn Tuấn,3.76,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV147,Huỳnh Văn Duy,3.62,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV148,Trần Phương Dung,3.26,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV149,Vũ Ngọc An,3.38,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV150,Đặng Thanh Hà,2.06,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV151,Bùi Diệu Thảo,1.94,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV152,Vũ Ngọc Hà,3.50,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Khiển trách
SV153,Lê Hữu Khoa,2.66,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV154,Lê Anh Nghĩa,3.26,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Khiển trách
SV155,Trần Hữu Phong,2.13,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Cảnh cáo
SV156,Võ Kim Phương,3.86,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV157,Huỳnh Phương Thư,3.74,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV158,Võ Kim Trang,3.03,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV159,Hồ Công Nghĩa,1.96,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV160,Đỗ Hồng Dung,3.44,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV161,Hồ Xuân Nam,2.33,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV162,Dương Anh Vinh,2.46,Đạt,Chưa đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV163,Lý Xuân Vinh,3.61,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV164,Hồ Quang Bình,2.66,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV165,Phạm Đức Dũng,2.65,Chưa đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV166,Trần Thị Dung,3.33,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Cảnh cáo
SV167,Hồ Xuân Toàn,3.61,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV168,Bùi Việt Dũng,3.91,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV169,Vũ Thị Như,2.83,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV170,Phạm Kim An,2.75,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV171,Trần Thu Nga,2.25,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV172,Đỗ Việt Trung,3.67,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV173,Đặng Công Thịnh,2.25,Chưa đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV174,Hồ Minh Tú,2.54,Chưa đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Cảnh cáo
SV175,Lý Kim Hà,3.58,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV176,Vũ Việt Hùng,1.91,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV177,Ngô Thanh Ngân,3.20,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV178,Trần Đức Nam,3.70,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV179,Đặng Thị An,2.44,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV180,Hoàng Mai My,2.39,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV181,Đặng Xuân Thắng,3.43,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV182,Huỳnh Thu Ngân,2.50,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV183,Nguyễn Bảo Phương,2.57,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV184,Đặng Ngọc Phương,3.77,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV185,Ngô Mai Yến,2.81,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV186,Dương Trọng Thịnh,2.58,Chưa đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV187,Dương Hữu Thắng,2.24,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV188,Trần Trọng Nghĩa,3.25,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV189,Lê Trọng Bình,3.81,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV190,Ngô Diệu Vân,2.62,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV191,Đỗ Ngọc Giang,3.93,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Khiển trách
SV192,Ngô Trọng Minh,3.57,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV193,Ngô Phương Trang,3.81,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV194,Vũ Thị Loan,2.74,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV195,Bùi Phương Oanh,3.46,Đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV196,Huỳnh Việt Thắng,2.72,Đạt,Chưa đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV197,Hoàng Công Minh,2.20,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV198,Ngô Minh Phúc,2.94,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV199,Phan Thị Hoa,2.61,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV200,Phan Quang Khoa,3.86,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV201,Phan Minh Vũ,2.31,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV202,Dương Ngọc Trâm,3.91,Đạt,Đạt,Chưa hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV203,Hoàng Văn Khang,2.99,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV204,Bùi Công Trung,3.57,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV205,Lý Thu Yến,3.71,Chưa đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV206,Nguyễn Minh Duy,3.61,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV207,Lý Thanh An,1.81,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV208,Ngô Thu Diệp,3.77,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV209,Hồ Anh Quân,2.32,Chưa đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
SV210,Hồ Minh Minh,2.99,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV211,Phạm Mai Yến,1.89,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV212,Trần Thu Yến,3.63,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Cảnh cáo
SV213,Vũ Xuân Tú,3.63,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV214,Đỗ Văn Dũng,2.74,Chưa đạt,Đạt,Hoàn thành,Chưa hoàn thành,Hoàn thành,Bình thường
SV215,Võ Anh Phát,2.29,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV216,Vũ Tuấn Cường,1.98,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV217,Đặng Anh Long,3.44,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV218,Lê Xuân Sơn,3.49,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV219,Vũ Phương Nga,2.16,Đạt,Đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV220,Lý Hữu Long,2.34,Đạt,Chưa đạt,Hoàn thành,Hoàn thành,Hoàn thành,Bình thường
SV221,Bùi Phương Loan,3.53,Đạt,Đạt,Hoàn thành,Hoàn thành,Chưa hoàn thành,Bình thường
