MaNV,HoTen,GioiTinh,NgaySinh,PhongBan,ChucVu,NgayVaoLam,TrinhDoHocVan,LuongCoBan_VND,SoNamKinhNghiem,Email,SDT,TrangThai
NV1029,Đỗ Thu My,Nữ,10/09/1980,Nhân sự,Nhân viên,11/01/2023,Thạc sĩ,22000000,15,nv1029@congty.com.vn,0929513094,Đã nghỉ việc
NV1030,Hoàng Thị Trang,Nữ,10/12/1995,Hành chính,Trưởng nhóm,10/09/2023,Cao đẳng,12000000,14,nv1030@congty.com.vn,0955457454,Đang làm việc
NV1031,Trần Thu Trang,Nữ,20/07/1975,Marketing,Phó phòng,24/04/2019,Đại học,10000000,2,nv1031@congty.com.vn,0953804166,Đang làm việc
NV1032,Vũ Đức Hùng,Nam,22/08/1992,Nhân sự,Trưởng phòng,03/04/2018,Thạc sĩ,7000000,6,nv1032@congty.com.vn,0975829146,Đang làm việc
NV1033,Đỗ Thành Đạt,Nam,12/07/1986,Kinh doanh,Trưởng nhóm,11/01/2026,Đại học,15000000,11,nv1033@congty.com.vn,0951350514,Tạm nghỉ
NV1034,Phan Xuân Sơn,Nam,14/12/1980,Chăm sóc khách hàng,Chuyên viên,18/12/2022,Trung cấp,10000000,4,nv1034@congty.com.vn,0937888268,Đang làm việc
NV1035,Lê Thanh Ngân,Nữ,09/11/1988,Chăm sóc khách hàng,Chuyên viên,29/12/2018,Thạc sĩ,6000000,4,nv1035@congty.com.vn,0936743897,Đang làm việc
NV1036,Đặng Bảo Quyên,Nữ,10/10/2001,Hành chính,Trưởng phòng,22/06/2018,Thạc sĩ,10000000,7,nv1036@congty.com.vn,0913602405,Đang làm việc
NV1037,Võ Đức Việt,Nam,14/05/1996,Kế toán,Phó phòng,24/05/2019,Cao đẳng,35000000,0,nv1037@congty.com.vn,0926019511,Đang làm việc
NV1038,Lê Thanh My,Nữ,28/07/1993,IT,Giám đốc,08/07/2024,Thạc sĩ,18000000,3,nv1038@congty.com.vn,0960090353,Đang làm việc
NV1039,Võ Minh Phát,Nam,23/08/1985,Kế toán,Trưởng nhóm,28/08/2018,Cao đẳng,8000000,1,nv1039@congty.com.vn,0946597195,Đang làm việc
NV1040,Trần Hồng Linh,Nữ,07/09/1977,Kế toán,Nhân viên,10/12/2023,Cao đẳng,35000000,10,nv1040@congty.com.vn,0952441045,Đang làm việc
NV1041,Võ Minh Giang,Nữ,01/03/1986,Kế toán,Trưởng phòng,29/12/2023,Đại học,28000000,11,nv1041@congty.com.vn,0975082045,Đang làm việc
NV1042,Phạm Quốc Đạt,Nam,26/04/2001,Nhân sự,Phó phòng,24/08/2023,Thạc sĩ,9000000,2,nv1042@congty.com.vn,0925645176,Đang làm việc
NV1043,Lý Anh Minh,Nam,20/08/1979,Sản xuất,Chuyên viên,01/10/2025,Đại học,12000000,0,nv1043@congty.com.vn,0925917805,Đang làm việc
NV1044,Vũ Đức Đạt,Nam,23/07/1977,Nhân sự,Nhân viên,09/05/2020,Trung cấp,8000000,15,nv1044@congty.com.vn,0967881056,Đang làm việc
NV1045,Trần Công Phát,Nam,02/05/1978,Nhân sự,Trưởng nhóm,31/08/2018,Trung cấp,18000000,3,nv1045@congty.com.vn,0926615289,Đã nghỉ việc
NV1046,Phan Minh Phong,Nam,09/12/1979,Sản xuất,Trưởng nhóm,30/04/2018,Cao đẳng,7000000,7,nv1046@congty.com.vn,0977767769,Đang làm việc
NV1047,Nguyễn Công Hùng,Nam,25/03/1984,Kinh doanh,Giám đốc,10/01/2026,Trung cấp,9000000,6,nv1047@congty.com.vn,0977671943,Đã nghỉ việc
NV1048,Đỗ Thanh Hạnh,Nữ,27/03/1978,Sản xuất,Phó phòng,06/12/2022,Thạc sĩ,35000000,6,nv1048@congty.com.vn,0979021601,Đang làm việc
NV1049,Bùi Hữu Tùng,Nam,25/08/1979,Sản xuất,Giám đốc,28/03/2019,Đại học,22000000,1,nv1049@congty.com.vn,0921039132,Đang làm việc
NV1050,Hồ Đức Tùng,Nam,27/11/1984,Hành chính,Chuyên viên,25/09/2024,Thạc sĩ,45000000,9,nv1050@congty.com.vn,0967440042,Đang làm việc
NV1051,Lý Anh Hải,Nam,04/11/1990,Chăm sóc khách hàng,Phó phòng,22/02/2018,Trung cấp,35000000,3,nv1051@congty.com.vn,0929242468,Đang làm việc
NV1052,Huỳnh Hữu Phong,Nam,28/10/1981,Chăm sóc khách hàng,Nhân viên,26/03/2020,Cao đẳng,12000000,13,nv1052@congty.com.vn,0976989425,Đang làm việc
NV1053,Hồ Minh Quyên,Nữ,17/08/1987,IT,Chuyên viên,23/06/2025,Thạc sĩ,28000000,3,nv1053@congty.com.vn,0926400072,Đang làm việc
NV1054,Vũ Thu Anh,Nữ,16/02/1976,Kinh doanh,Chuyên viên,12/02/2019,Thạc sĩ,45000000,10,nv1054@congty.com.vn,0930499966,Đang làm việc
NV1055,Lê Công Việt,Nam,16/11/1984,Hành chính,Trưởng phòng,24/03/2023,Đại học,9000000,10,nv1055@congty.com.vn,0982548572,Đang làm việc
NV1056,Ngô Hữu Quân,Nam,15/07/2002,Hành chính,Nhân viên,18/01/2023,Trung cấp,12000000,5,nv1056@congty.com.vn,0984714519,Đang làm việc
NV1057,Huỳnh Hải Nhi,Nữ,16/07/1997,Nhân sự,Trưởng phòng,05/07/2019,Thạc sĩ,10000000,15,nv1057@congty.com.vn,0973875700,Đang làm việc
NV1058,Trần Thành Long,Nam,22/10/1987,Sản xuất,Trưởng nhóm,20/07/2023,Đại học,28000000,1,nv1058@congty.com.vn,0913777824,Đang làm việc
NV1059,Đỗ Anh Phát,Nam,04/07/1985,Chăm sóc khách hàng,Trưởng nhóm,21/04/2018,Đại học,35000000,13,nv1059@congty.com.vn,0957146562,Đang làm việc
NV1060,Vũ Quốc Minh,Nam,28/02/1997,IT,Nhân viên,24/08/2024,Đại học,7000000,5,nv1060@congty.com.vn,0912645698,Đang làm việc
NV1061,Dương Thành Phát,Nam,23/01/1983,Hành chính,Trưởng phòng,10/10/2023,Trung cấp,15000000,10,nv1061@congty.com.vn,0960699081,Đang làm việc
NV1062,Phạm Hải Giang,Nữ,16/06/1981,Sản xuất,Chuyên viên,30/09/2025,Đại học,35000000,11,nv1062@congty.com.vn,0968517739,Đang làm việc
NV1063,Phan Đức Long,Nam,26/07/1993,Marketing,Trưởng phòng,14/07/2018,Trung cấp,10000000,3,nv1063@congty.com.vn,0989438729,Đang làm việc
NV1064,Lý Thành Hùng,Nam,17/05/1995,IT,Phó phòng,23/11/2021,Đại học,7000000,6,nv1064@congty.com.vn,0965608317,Đang làm việc
NV1065,Huỳnh Thị Thảo,Nữ,22/04/1990,Hành chính,Trưởng nhóm,04/02/2020,Thạc sĩ,28000000,1,nv1065@congty.com.vn,0980097837,Đang làm việc
NV1066,Hoàng Diễm Hà,Nữ,28/05/1999,Chăm sóc khách hàng,Phó phòng,16/05/2026,Đại học,35000000,2,nv1066@congty.com.vn,0995084307,Đang làm việc
NV1067,Võ Hồng Hạnh,Nữ,13/04/1994,Marketing,Nhân viên,16/11/2020,Cao đẳng,35000000,6,nv1067@congty.com.vn,0913718391,Đang làm việc
NV1068,Dương Hải Trang,Nữ,07/01/1995,Kế toán,Trưởng nhóm,22/11/2022,Cao đẳng,15000000,0,nv1068@congty.com.vn,0944681437,Đang làm việc
NV1069,Huỳnh Thị Quyên,Nữ,11/02/2002,IT,Nhân viên,23/03/2018,Thạc sĩ,6000000,11,nv1069@congty.com.vn,0998238841,Đã nghỉ việc
NV1070,Hoàng Diễm Giang,Nữ,17/02/1991,IT,Phó phòng,27/05/2024,Trung cấp,45000000,7,nv1070@congty.com.vn,0990506654,Đang làm việc
NV1071,Bùi Thanh Ngân,Nữ,07/07/1982,Kế toán,Nhân viên,24/05/2026,Cao đẳng,45000000,6,nv1071@congty.com.vn,0946849119,Đang làm việc
NV1072,Trần Hải Trang,Nữ,18/06/1978,Chăm sóc khách hàng,Phó phòng,15/03/2022,Cao đẳng,45000000,8,nv1072@congty.com.vn,0929449696,Đang làm việc
NV1073,Đặng Thị Yến,Nữ,23/01/1996,Marketing,Trưởng nhóm,23/05/2018,Thạc sĩ,45000000,9,nv1073@congty.com.vn,0995758290,Tạm nghỉ
NV1074,Phạm Bảo Huyền,Nữ,09/07/1975,IT,Nhân viên,18/12/2022,Cao đẳng,15000000,9,nv1074@congty.com.vn,0938237596,Đã nghỉ việc
NV1075,Dương Anh Sơn,Nam,27/02/2002,Hành chính,Phó phòng,19/05/2018,Thạc sĩ,10000000,10,nv1075@congty.com.vn,0966689004,Đã nghỉ việc
NV1076,Huỳnh Đức Kiên,Nam,24/10/1988,Sản xuất,Phó phòng,29/09/2018,Trung cấp,12000000,1,nv1076@congty.com.vn,0996083599,Đang làm việc
NV1077,Hoàng Thị Ngân,Nữ,19/06/1984,Nhân sự,Nhân viên,30/03/2020,Cao đẳng,35000000,7,nv1077@congty.com.vn,0979305456,Đang làm việc
NV1078,Ngô Anh Tùng,Nam,06/05/1979,Sản xuất,Trưởng nhóm,14/05/2023,Cao đẳng,45000000,2,nv1078@congty.com.vn,0965632768,Đang làm việc
NV1079,Hồ Thanh Huyền,Nữ,20/11/1992,Marketing,Nhân viên,26/03/2018,Thạc sĩ,6000000,6,nv1079@congty.com.vn,0945135941,Đang làm việc
NV1080,Trần Thành Trung,Nam,03/03/1983,Sản xuất,Chuyên viên,23/10/2022,Trung cấp,28000000,0,nv1080@congty.com.vn,0980576741,Đang làm việc
NV1081,Lý Ngọc Huyền,Nữ,10/05/1981,Hành chính,Phó phòng,01/01/2026,Cao đẳng,9000000,13,nv1081@congty.com.vn,0937730181,Đang làm việc
NV1082,Phan Kim Hạnh,Nữ,09/05/1975,Marketing,Trưởng phòng,01/08/2022,Thạc sĩ,8000000,7,nv1082@congty.com.vn,0959611937,Đang làm việc
NV1083,Lê Thị Quyên,Nữ,22/07/1997,Marketing,Giám đốc,30/06/2019,Thạc sĩ,12000000,13,nv1083@congty.com.vn,0990154282,Đang làm việc
NV1084,Trần Văn Nam,Nam,22/10/1986,Kinh doanh,Nhân viên,19/08/2020,Đại học,18000000,12,nv1084@congty.com.vn,0950601849,Tạm nghỉ
NV1085,Hoàng Bảo Chi,Nữ,17/03/1983,Hành chính,Trưởng nhóm,05/07/2024,Thạc sĩ,8000000,4,nv1085@congty.com.vn,0922032348,Đang làm việc
NV1086,Hoàng Hồng Giang,Nữ,28/08/1979,IT,Giám đốc,07/07/2021,Đại học,6000000,13,nv1086@congty.com.vn,0947973618,Đã nghỉ việc
NV1087,Võ Bảo Mai,Nữ,16/12/1985,Kế toán,Trưởng phòng,20/11/2022,Thạc sĩ,8000000,1,nv1087@congty.com.vn,0935356407,Đang làm việc
NV1088,Huỳnh Văn Việt,Nam,14/08/1997,Nhân sự,Phó phòng,01/12/2020,Trung cấp,8000000,14,nv1088@congty.com.vn,0957851319,Tạm nghỉ
NV1089,Dương Hải Giang,Nữ,03/06/1978,Marketing,Trưởng nhóm,27/01/2026,Cao đẳng,8000000,5,nv1089@congty.com.vn,0978281626,Đang làm việc
NV1090,Nguyễn Công Phát,Nam,25/04/1977,Hành chính,Giám đốc,10/01/2020,Trung cấp,15000000,10,nv1090@congty.com.vn,0913484583,Đang làm việc
NV1091,Hồ Anh Phát,Nam,03/01/1979,Hành chính,Giám đốc,11/03/2019,Thạc sĩ,12000000,14,nv1091@congty.com.vn,0994336613,Tạm nghỉ
NV1092,Bùi Văn Trung,Nam,26/12/1998,Kế toán,Chuyên viên,30/01/2023,Trung cấp,12000000,9,nv1092@congty.com.vn,0953375256,Đang làm việc
NV1093,Hồ Hữu Quân,Nam,03/07/1982,Kinh doanh,Chuyên viên,11/11/2020,Cao đẳng,8000000,12,nv1093@congty.com.vn,0964008708,Đang làm việc
NV1094,Phạm Đức Việt,Nam,22/05/2000,Kế toán,Trưởng nhóm,06/11/2022,Trung cấp,45000000,11,nv1094@congty.com.vn,0978807151,Đang làm việc
NV1095,Hồ Hải Lan,Nữ,25/02/1988,Chăm sóc khách hàng,Trưởng nhóm,25/04/2024,Cao đẳng,28000000,13,nv1095@congty.com.vn,0994649276,Đang làm việc
NV1096,Bùi Xuân Khang,Nam,16/03/1997,Nhân sự,Trưởng nhóm,06/04/2025,Thạc sĩ,35000000,13,nv1096@congty.com.vn,0920627779,Đã nghỉ việc
NV1097,Đặng Thu Hà,Nữ,17/04/2001,Chăm sóc khách hàng,Trưởng nhóm,03/09/2025,Trung cấp,10000000,2,nv1097@congty.com.vn,0916052535,Đang làm việc
NV1098,Ngô Ngọc Phương,Nữ,12/05/1993,IT,Trưởng phòng,30/05/2025,Trung cấp,45000000,0,nv1098@congty.com.vn,0925292162,Đang làm việc
NV1099,Huỳnh Thu Ngân,Nữ,10/12/1988,Sản xuất,Trưởng phòng,05/07/2018,Thạc sĩ,7000000,14,nv1099@congty.com.vn,0993726413,Đang làm việc
NV1100,Huỳnh Diễm Hạnh,Nữ,28/05/1994,Nhân sự,Phó phòng,17/11/2018,Trung cấp,45000000,0,nv1100@congty.com.vn,0963007123,Đang làm việc
