mssv,ho_ten,ngay_sinh,khoa,nganh,nam_hoc,hoc_ky,gpa_hoc_ky,diem_ren_luyen,loai_hoc_bong_dang_ky,hoan_canh_kho_khan,vipham_ky_luat,no_hoc_phi,ket_qua_xet_hoc_bong,ly_do_truot_hoac_xep_loai
211A000011,Phan Huu Cuong,2003-11-09,Kinh te,Tai chinh Ngan hang,2025-2026,Hoc ky 1,3.27,89,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000012,Cao Truc Em,2003-10-07,Kinh te,Marketing,2025-2026,Hoc ky 1,3.9,99,Hoc bong Tai nang VHU,0,0,0,Dat,Dat HB Tai nang VHU
211A000013,Vo Tan Thao,2003-07-30,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 1,2.81,61,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000014,Do Van An,2003-09-19,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,2.95,62,Hoc bong Dong hanh Vuot kho,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000015,Vo Kim Hang,2003-08-11,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,3.22,98,Hoc bong Khuyen khich Hoc tap,1,1,0,Khong dat,Vi pham ky luat trong hoc ky
211A000016,Dang Thi Thinh,2003-01-25,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,3.44,56,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000017,Vo Quoc Giang,2003-07-19,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,3.73,79,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000018,Vu Nhat Linh,2003-08-28,Kinh te,Ke toan,2025-2026,Hoc ky 2,2.94,88,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000019,Le Duc Mai,2003-07-28,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,2.76,65,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000020,Mai Thanh Vy,2003-05-31,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,2.29,71,Hoc bong Khuyen khich Hoc tap,1,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000021,Do Quoc Dung,2003-09-17,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 1,2.65,75,Hoc bong Trai tim Hung Hau,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000022,Ly Nhat An,2003-01-30,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 1,2.68,61,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000023,Dinh Thi Nhi,2003-06-11,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,2.9,98,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Kha
211A000024,Ly Phuong Linh,2003-07-02,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,2.63,76,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000025,Cao Van Thinh,2003-06-25,Kinh te,Logistics va Quan ly Chuoi cung ung,2025-2026,Hoc ky 1,3.46,62,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000026,Do Tan An,2003-08-06,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,2.88,79,Hoc bong Trai tim Hung Hau,1,0,0,Dat,Dat HB Trai tim Hung Hau (Hoan canh kho khan + Hoc luc Kha tro len)
211A000027,Dang Huu An,2003-12-05,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.58,69,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000028,Ly Tuyet Em,2003-11-17,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,3.14,96,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000029,Hoang Thi An,2003-11-18,Kinh te,Marketing,2025-2026,Hoc ky 1,3.92,98,Hoc bong Trai tim Hung Hau,1,0,0,Dat,Dat HB Trai tim Hung Hau (Hoan canh kho khan + Hoc luc Kha tro len)
211A000030,Ngo Huu Lam,2003-06-25,Kinh te,Ke toan,2025-2026,Hoc ky 2,2.96,84,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000031,Vo Truc An,2003-07-01,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,3.3,60,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000032,Pham Van Thinh,2003-04-22,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.9,79,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000033,Hoang Huu Lam,2003-06-08,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 1,3.79,73,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000034,Nguyen Truc Phong,2003-07-02,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,2.44,89,Hoc bong Trai tim Hung Hau,0,1,0,Khong dat,Vi pham ky luat trong hoc ky
211A000035,Nguyen Viet Cuong,2003-07-08,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 1,3.23,70,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000036,Le Phuong Lam,2003-11-12,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 1,2.75,86,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000037,Phan Viet Cuong,2003-02-05,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 2,2.6,97,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000038,Hoang Tuyet Quang,2003-07-26,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 1,3.62,69,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000039,Huynh Thanh Em,2003-08-15,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.6,62,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000040,Vo Huu Lam,2003-04-30,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 1,2.6,91,Hoc bong Dong hanh Vuot kho,1,0,0,Dat,Dat HB Dong hanh Vuot kho
211A000041,Hoang Nhat Mai,2003-02-18,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.9,96,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000042,Nguyen Ngoc Thinh,2003-12-26,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 2,3.19,94,Hoc bong Dong hanh Vuot kho,1,0,0,Dat,Dat HB Dong hanh Vuot kho
211A000043,Nguyen Thi Khoa,2003-11-22,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 2,2.13,68,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000044,Mai Thanh Thinh,2003-01-06,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 2,3.93,84,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000045,Truong Kim Vy,2003-10-14,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 1,2.61,81,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000046,Ngo Truc Mai,2003-06-25,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,2.58,75,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000047,Vu Viet Lam,2003-08-27,Kinh te,Ke toan,2025-2026,Hoc ky 2,3.06,80,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000048,Le Kim Thinh,2003-06-02,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,3.02,97,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000049,Dang Ngoc Thao,2003-09-24,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 1,2.15,70,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,GPA hoac DRL khong dat muc toi thieu cho HB Trai tim Hung Hau
211A000050,Trinh Thanh Lam,2003-09-08,Kinh te,Logistics va Quan ly Chuoi cung ung,2025-2026,Hoc ky 2,2.78,96,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000051,Vo Gia Em,2003-12-03,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,2.63,74,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000052,Do Gia Quan,2003-03-28,Kinh te,Luat Kinh te,2025-2026,Hoc ky 1,3.51,98,Hoc bong Trai tim Hung Hau,1,0,0,Dat,Dat HB Trai tim Hung Hau (Hoan canh kho khan + Hoc luc Kha tro len)
211A000053,Mai Van Linh,2003-04-24,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,2.98,81,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000054,Vu Van Bich,2003-02-18,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 2,2.72,56,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000055,Truong Thanh Giang,2003-05-04,Kinh te,Luat Kinh te,2025-2026,Hoc ky 2,2.5,65,Hoc bong Dong hanh Vuot kho,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000056,Bui Tan Quan,2003-10-14,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,3.75,68,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000057,Dinh Quoc Dung,2003-03-30,Kinh te,Luat Kinh te,2025-2026,Hoc ky 2,2.46,82,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000058,Ly Tan Nam,2003-07-23,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 2,3.77,77,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000059,Ngo Viet Quan,2003-07-13,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,3.52,98,Hoc bong Khuyen khich Hoc tap,1,0,0,Dat,Dat HB KKHT Loai Gioi
211A000060,Trinh Kim Dung,2003-05-22,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 1,3.21,59,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000061,Cao Duc Yen,2003-09-03,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,3.79,63,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000062,Ly Van Bich,2003-02-06,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,3.45,74,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000063,Ngo Phuong Khoa,2003-09-21,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 1,3.02,93,Hoc bong Trai tim Hung Hau,1,0,0,Dat,Dat HB Trai tim Hung Hau (Hoan canh kho khan + Hoc luc Kha tro len)
211A000064,Vu Phuong Quang,2003-09-29,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,2.82,57,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000065,Hoang Ngoc Phong,2003-10-25,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 1,3.89,62,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000066,Phan Phuong Dung,2003-02-24,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,2.56,58,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000067,Le Ngoc Giang,2003-01-19,Kinh te,Luat Kinh te,2025-2026,Hoc ky 1,3.79,90,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Xuat sac
211A000068,Phan Kim Bich,2003-04-08,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.65,65,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000069,Tran Truc Lam,2003-02-06,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.03,58,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000070,Ngo Thi An,2003-07-31,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,3.37,66,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000071,Hoang Phuong Lam,2003-11-27,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.27,77,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000072,Trinh Khanh Quang,2003-12-22,Kinh te,Luat Kinh te,2025-2026,Hoc ky 2,2.43,90,Hoc bong Khuyen khich Hoc tap,0,1,0,Khong dat,Vi pham ky luat trong hoc ky
211A000073,Vu Nhat Vy,2003-06-23,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,3.5,92,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
211A000074,Ngo Tan Yen,2003-12-12,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,3.5,55,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000075,Phan Minh Khoa,2003-12-07,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,2.31,63,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000076,Nguyen Duc Yen,2003-06-01,Kinh te,Marketing,2025-2026,Hoc ky 1,2.93,62,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000077,Le Phuong Lam,2003-08-13,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 2,2.94,94,Hoc bong Dong hanh Vuot kho,1,0,0,Dat,Dat HB Dong hanh Vuot kho
211A000078,Dang Minh Yen,2003-10-08,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 1,3.96,73,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000079,Dang Minh Khoa,2003-07-17,Kinh te,Logistics va Quan ly Chuoi cung ung,2025-2026,Hoc ky 2,3.31,80,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000080,Huynh Ngoc Nam,2003-08-20,Kinh te,Tai chinh Ngan hang,2025-2026,Hoc ky 2,2.17,94,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000081,Cao Gia Quan,2003-07-12,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,3.25,57,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000082,Mai Kim Linh,2003-12-07,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,3.51,88,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000083,Dinh Viet Khoa,2003-10-14,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,3.72,56,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000084,Huynh Truc Giang,2003-08-11,Du lich,Quan tri Khach san,2025-2026,Hoc ky 2,2.16,60,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000085,Dinh Viet Thao,2003-11-17,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,2.7,55,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000086,Phan Nhat Dung,2003-11-26,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 2,2.74,66,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000087,Phan Minh Thinh,2003-08-05,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 1,3.39,82,Hoc bong Khuyen khich Hoc tap,1,0,0,Dat,Dat HB KKHT Loai Gioi
211A000088,Do Minh Bich,2003-07-28,Kinh te,Marketing,2025-2026,Hoc ky 1,2.58,89,Hoc bong Trai tim Hung Hau,1,0,0,Dat,Dat HB Trai tim Hung Hau (Hoan canh kho khan + Hoc luc Kha tro len)
211A000089,Nguyen Gia Yen,2003-11-07,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,3.58,99,Hoc bong Trai tim Hung Hau,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000090,Le Ngoc Mai,2003-08-07,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,3.49,93,Hoc bong Trai tim Hung Hau,1,0,0,Dat,Dat HB Trai tim Hung Hau (Hoan canh kho khan + Hoc luc Kha tro len)
211A000091,Ly Kim Quan,2003-05-29,Truyen thong,Quan he Cong chuong,2025-2026,Hoc ky 1,3.43,92,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000092,Ly Tan Dung,2003-11-07,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 1,3.23,76,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000093,Truong Duc Yen,2003-07-12,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,3.73,82,Hoc bong Dong hanh Vuot kho,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000094,Do Phuong Nam,2003-05-09,Truyen thong,Truyen thong Da phuong tien,2025-2026,Hoc ky 2,2.88,57,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000095,Tran Minh Mai,2003-08-10,Ngoai ngu,Ngon ngu Nhat,2025-2026,Hoc ky 2,3.82,71,Hoc bong Khuyen khich Hoc tap,0,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000096,Dang Thi Nam,2003-11-13,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,3.37,89,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
211A000097,Ngo Minh Cuong,2003-02-23,Cong nghe Thong tin,An toan Thong tin,2025-2026,Hoc ky 1,2.36,90,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,GPA khong dat muc toi thieu 2.80 cho HB KKHT
211A000098,Phan Thanh Bich,2003-08-01,Ngoai ngu,Ngon ngu Anh,2025-2026,Hoc ky 2,3.3,89,Hoc bong Trai tim Hung Hau,1,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000099,Cao Nhat Quang,2003-08-14,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 1,2.64,61,Hoc bong Trai tim Hung Hau,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000100,Phan Kim Yen,2003-03-19,Kinh te,Ke toan,2025-2026,Hoc ky 1,3.53,99,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000101,Huynh Hoang Nam,2003-07-20,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 2,3.18,60,Hoc bong Tai nang VHU,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000102,Duong Huu Thinh,2003-02-26,Du lich,Quan tri Khach san,2025-2026,Hoc ky 1,2.97,77,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000103,Pham Phuong Lam,2003-10-29,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.46,66,Hoc bong Tai nang VHU,1,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000104,Vo Tan Thinh,2003-01-26,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 1,3.45,85,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
211A000105,Pham Thanh Linh,2003-03-05,Ngoai ngu,Ngon ngu Trung Quoc,2025-2026,Hoc ky 2,2.24,75,Hoc bong Tai nang VHU,0,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000106,Tran Hoang Linh,2003-08-11,Cong nghe Thong tin,Ky thuat Phan mem,2025-2026,Hoc ky 1,3.86,55,Hoc bong Khuyen khich Hoc tap,0,0,0,Khong dat,Diem ren luyen duoi 70 (Yeu/Trung binh)
211A000107,Hoang Minh Lam,2003-09-13,Du lich,Quan tri Dich vu Du lich,2025-2026,Hoc ky 2,3.12,94,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000108,Vu Truc Phong,2003-02-01,Ky thuat Cong nghe,Cong nghe Ky thuat O to,2025-2026,Hoc ky 2,2.48,71,Hoc bong Tai nang VHU,1,0,0,Khong dat,Yeu cau GPA >= 3.60 va DRL >= 90
211A000109,Nguyen Nhat Quan,2003-12-16,Cong nghe Thong tin,Cong nghe Thong tin,2025-2026,Hoc ky 2,2.37,97,Hoc bong Dong hanh Vuot kho,1,0,0,Dat,Dat HB Dong hanh Vuot kho
211A000110,Do Minh Lam,2003-03-02,Kinh te,Marketing,2025-2026,Hoc ky 1,3.31,72,Hoc bong Trai tim Hung Hau,1,0,1,Khong dat,Con no hoc phi / Chi phi khac
211A000111,Tran Kim Quang,2003-06-29,Kinh te,Marketing,2025-2026,Hoc ky 1,3.63,99,Hoc bong Tai nang VHU,0,0,0,Dat,Dat HB Tai nang VHU
211A000112,Truong Nhat Thinh,2003-08-10,Kinh te,Quan tri Kinh doanh,2025-2026,Hoc ky 2,2.81,78,Hoc bong Trai tim Hung Hau,1,0,0,Dat,Dat HB Trai tim Hung Hau (Hoan canh kho khan + Hoc luc Kha tro len)
211A000113,Ngo Tuyet Thinh,2003-02-15,Kinh te,Luat Kinh te,2025-2026,Hoc ky 2,2.45,84,Hoc bong Trai tim Hung Hau,0,0,0,Khong dat,Khong thuoc doi tuong hoan canh gia dinh kho khan
211A000114,Duong Nhat Quan,2003-08-21,Cong nghe Thong tin,Khoa hoc Du lieu,2025-2026,Hoc ky 2,3.4,95,Hoc bong Khuyen khich Hoc tap,0,0,0,Dat,Dat HB KKHT Loai Gioi
